factor,M0,M1,delta_mae,held_out_family,n_test,n_train
attribute,"{""mae"": 0.08559061537755408, ""rmse"": 0.08559061537755408}","{""mae"": 0.03817529541219966, ""rmse"": 0.03817529541219966}",0.04741531996535442,qa_family_0,1,7
attribute,"{""mae"": 0.04691405118779857, ""rmse"": 0.04691405118779857}","{""mae"": 0.03539467980895772, ""rmse"": 0.03539467980895772}",0.011519371378840848,qa_family_1,1,7
attribute,"{""mae"": 0.08924901085964942, ""rmse"": 0.08924901085964942}","{""mae"": 0.0545775957327117, ""rmse"": 0.0545775957327117}",0.03467141512693772,qa_family_2,1,7
attribute,"{""mae"": 0.07018858628783886, ""rmse"": 0.07018858628783886}","{""mae"": 0.05372110640622252, ""rmse"": 0.05372110640622252}",0.016467479881616343,qa_family_3,1,7
attribute,"{""mae"": 0.09802909723877817, ""rmse"": 0.09802909723877817}","{""mae"": 0.052581810896739634, ""rmse"": 0.052581810896739634}",0.04544728634203854,qa_family_4,1,7
attribute,"{""mae"": 0.058774299731385815, ""rmse"": 0.058774299731385815}","{""mae"": 0.03203760765013974, ""rmse"": 0.03203760765013974}",0.026736692081246072,qa_family_5,1,7
attribute,"{""mae"": 0.08087632547866597, ""rmse"": 0.08087632547866597}","{""mae"": 0.043386868831739256, ""rmse"": 0.043386868831739256}",0.03748945664692671,qa_family_6,1,7
attribute,"{""mae"": 0.026592624621578298, ""rmse"": 0.026592624621578298}","{""mae"": 0.05239172027813899, ""rmse"": 0.05239172027813899}",-0.02579909565656069,qa_family_7,1,7
count,"{""mae"": 0.029345118375261325, ""rmse"": 0.029345118375261325}","{""mae"": 0.005083866480468435, ""rmse"": 0.005083866480468435}",0.02426125189479289,qa_family_0,1,7
count,"{""mae"": 0.04354829719357489, ""rmse"": 0.04354829719357489}","{""mae"": 0.11780714701866579, ""rmse"": 0.11780714701866579}",-0.0742588498250909,qa_family_1,1,7
count,"{""mae"": 0.053160520335607364, ""rmse"": 0.053160520335607364}","{""mae"": 0.09771189330281649, ""rmse"": 0.09771189330281649}",-0.044551372967209124,qa_family_2,1,7
count,"{""mae"": 0.02984679191056072, ""rmse"": 0.02984679191056072}","{""mae"": 0.017089314706474568, ""rmse"": 0.017089314706474568}",0.012757477204086154,qa_family_3,1,7
count,"{""mae"": 0.010940587392398116, ""rmse"": 0.010940587392398116}","{""mae"": 0.037683578502967996, ""rmse"": 0.037683578502967996}",-0.02674299111056988,qa_family_4,1,7
count,"{""mae"": 0.07311250368711464, ""rmse"": 0.07311250368711464}","{""mae"": 0.06978464723898081, ""rmse"": 0.06978464723898081}",0.0033278564481338258,qa_family_5,1,7
count,"{""mae"": 0.010150480819820507, ""rmse"": 0.010150480819820507}","{""mae"": 0.010525779627240883, ""rmse"": 0.010525779627240883}",-0.0003752988074203767,qa_family_6,1,7
count,"{""mae"": 0.04112461221156549, ""rmse"": 0.04112461221156549}","{""mae"": 0.03914427750673799, ""rmse"": 0.03914427750673799}",0.001980334704827502,qa_family_7,1,7
presence,"{""mae"": 0.004214395407132976, ""rmse"": 0.004214395407132976}","{""mae"": 0.17813545848151424, ""rmse"": 0.17813545848151424}",-0.17392106307438127,qa_family_0,1,7
presence,"{""mae"": 0.09099018917747659, ""rmse"": 0.09099018917747659}","{""mae"": 0.09418978240432574, ""rmse"": 0.09418978240432574}",-0.003199593226849151,qa_family_1,1,7
presence,"{""mae"": 0.05414516682452908, ""rmse"": 0.05414516682452908}","{""mae"": 0.04378500655476414, ""rmse"": 0.04378500655476414}",0.01036016026976494,qa_family_2,1,7
presence,"{""mae"": 0.01175569444572977, ""rmse"": 0.01175569444572977}","{""mae"": 0.1161457656408953, ""rmse"": 0.1161457656408953}",-0.10439007119516552,qa_family_3,1,7
presence,"{""mae"": 0.027926748829269377, ""rmse"": 0.027926748829269377}","{""mae"": 0.02462335715308961, ""rmse"": 0.02462335715308961}",0.0033033916761797677,qa_family_4,1,7
presence,"{""mae"": 0.03708410053726374, ""rmse"": 0.03708410053726374}","{""mae"": 0.015451962710734901, ""rmse"": 0.015451962710734901}",0.02163213782652884,qa_family_5,1,7
presence,"{""mae"": 0.07188478492989847, ""rmse"": 0.07188478492989847}","{""mae"": 0.09140887072576231, ""rmse"": 0.09140887072576231}",-0.019524085795863844,qa_family_6,1,7
presence,"{""mae"": 0.04974739054046329, ""rmse"": 0.04974739054046329}","{""mae"": 0.04507225455167396, ""rmse"": 0.04507225455167396}",0.004675135988789325,qa_family_7,1,7
spatial,"{""mae"": 0.06564079271858125, ""rmse"": 0.06564079271858125}","{""mae"": 0.06169750284853881, ""rmse"": 0.06169750284853881}",0.0039432898700424435,qa_family_0,1,7
spatial,"{""mae"": 0.06341483030613704, ""rmse"": 0.06341483030613704}","{""mae"": 0.16628031806033683, ""rmse"": 0.16628031806033683}",-0.10286548775419979,qa_family_1,1,7
spatial,"{""mae"": 0.03345417234224057, ""rmse"": 0.03345417234224057}","{""mae"": 0.11554307512506412, ""rmse"": 0.11554307512506412}",-0.08208890278282355,qa_family_2,1,7
spatial,"{""mae"": 0.02093487136992367, ""rmse"": 0.02093487136992367}","{""mae"": 0.11609831380343916, ""rmse"": 0.11609831380343916}",-0.09516344243351549,qa_family_3,1,7
spatial,"{""mae"": 0.07519327900195605, ""rmse"": 0.07519327900195605}","{""mae"": 0.03507354974323995, ""rmse"": 0.03507354974323995}",0.0401197292587161,qa_family_4,1,7
spatial,"{""mae"": 0.05365171310386141, ""rmse"": 0.05365171310386141}","{""mae"": 0.052710690791054726, ""rmse"": 0.052710690791054726}",0.000941022312806683,qa_family_5,1,7
spatial,"{""mae"": 0.11685620517118189, ""rmse"": 0.11685620517118189}","{""mae"": 0.16221365497696494, ""rmse"": 0.16221365497696494}",-0.045357449805783046,qa_family_6,1,7
spatial,"{""mae"": 0.06561897419857654, ""rmse"": 0.06561897419857654}","{""mae"": 0.051172389351726744, ""rmse"": 0.051172389351726744}",0.014446584846849797,qa_family_7,1,7
