factor,triplet_id,status,n_flags,flags
attribute,attr_000000,PASS,0,
attribute,attr_000001,PASS,0,
attribute,attr_000002,PASS,0,
attribute,attr_000003,PASS,0,
attribute,attr_000004,PASS,0,
attribute,attr_000005,PASS,0,
attribute,attr_000006,PASS,0,
attribute,attr_000007,PASS,0,
attribute,attr_000008,PASS,0,
attribute,attr_000009,PASS,0,
attribute,attr_000010,PASS,0,
attribute,attr_000011,PASS,0,
attribute,attr_000012,PASS,0,
attribute,attr_000013,PASS,0,
attribute,attr_000014,PASS,0,
attribute,attr_000015,PASS,0,
attribute,attr_000016,PASS,0,
attribute,attr_000017,PASS,0,
attribute,attr_000018,PASS,0,
attribute,attr_000019,PASS,0,
attribute,attr_000020,PASS,0,
attribute,attr_000021,PASS,0,
attribute,attr_000022,PASS,0,
attribute,attr_000023,PASS,0,
attribute,attr_000024,PASS,0,
attribute,attr_000025,PASS,0,
attribute,attr_000026,PASS,0,
attribute,attr_000027,PASS,0,
attribute,attr_000028,PASS,0,
attribute,attr_000029,PASS,0,
attribute,attr_000030,PASS,0,
attribute,attr_000031,PASS,0,
attribute,attr_000032,PASS,0,
attribute,attr_000033,PASS,0,
attribute,attr_000034,PASS,0,
attribute,attr_000035,PASS,0,
attribute,attr_000036,PASS,0,
attribute,attr_000037,PASS,0,
attribute,attr_000038,PASS,0,
attribute,attr_000039,PASS,0,
attribute,attr_000040,PASS,0,
attribute,attr_000041,PASS,0,
attribute,attr_000042,PASS,0,
attribute,attr_000043,PASS,0,
attribute,attr_000044,PASS,0,
attribute,attr_000045,PASS,0,
attribute,attr_000046,PASS,0,
attribute,attr_000047,PASS,0,
attribute,attr_000048,PASS,0,
attribute,attr_000049,BORDERLINE,1,BORDERLINE: relevant/irrelevant RGB magnitude ratio 0.241
attribute,attr_000050,PASS,0,
attribute,attr_000051,PASS,0,
attribute,attr_000052,PASS,0,
attribute,attr_000053,PASS,0,
attribute,attr_000054,PASS,0,
attribute,attr_000055,PASS,0,
attribute,attr_000056,PASS,0,
attribute,attr_000057,PASS,0,
attribute,attr_000058,PASS,0,
attribute,attr_000059,PASS,0,
attribute,attr_000060,PASS,0,
attribute,attr_000061,PASS,0,
attribute,attr_000062,PASS,0,
attribute,attr_000063,PASS,0,
attribute,attr_000064,PASS,0,
attribute,attr_000065,PASS,0,
attribute,attr_000066,PASS,0,
attribute,attr_000067,PASS,0,
attribute,attr_000068,PASS,0,
attribute,attr_000069,PASS,0,
attribute,attr_000070,PASS,0,
attribute,attr_000071,PASS,0,
attribute,attr_000072,PASS,0,
attribute,attr_000073,PASS,0,
attribute,attr_000074,PASS,0,
attribute,attr_000075,PASS,0,
attribute,attr_000076,PASS,0,
attribute,attr_000077,PASS,0,
attribute,attr_000078,PASS,0,
attribute,attr_000079,PASS,0,
attribute,attr_000080,PASS,0,
attribute,attr_000081,PASS,0,
attribute,attr_000082,PASS,0,
attribute,attr_000083,PASS,0,
attribute,attr_000084,PASS,0,
attribute,attr_000085,PASS,0,
attribute,attr_000086,PASS,0,
attribute,attr_000087,PASS,0,
attribute,attr_000088,PASS,0,
attribute,attr_000089,PASS,0,
attribute,attr_000090,PASS,0,
attribute,attr_000091,PASS,0,
attribute,attr_000092,PASS,0,
attribute,attr_000093,PASS,0,
attribute,attr_000094,PASS,0,
attribute,attr_000095,PASS,0,
attribute,attr_000096,PASS,0,
attribute,attr_000097,PASS,0,
attribute,attr_000098,PASS,0,
attribute,attr_000099,PASS,0,
attribute,attr_000100,BORDERLINE,1,BORDERLINE: relevant/irrelevant RGB magnitude ratio 0.23
attribute,attr_000101,PASS,0,
attribute,attr_000102,PASS,0,
attribute,attr_000103,PASS,0,
attribute,attr_000104,PASS,0,
attribute,attr_000105,PASS,0,
attribute,attr_000106,PASS,0,
