factor,triplet_id,status,n_flags,flags
presence,pres_000000,PASS,0,
presence,pres_000001,PASS,0,
presence,pres_000002,PASS,0,
presence,pres_000003,PASS,0,
presence,pres_000004,PASS,0,
presence,pres_000005,PASS,0,
presence,pres_000006,PASS,0,
presence,pres_000007,PASS,0,
presence,pres_000008,PASS,0,
presence,pres_000009,PASS,0,
presence,pres_000010,PASS,0,
presence,pres_000011,PASS,0,
presence,pres_000012,PASS,0,
presence,pres_000013,PASS,0,
presence,pres_000014,PASS,0,
presence,pres_000015,PASS,0,
presence,pres_000016,PASS,0,
presence,pres_000017,PASS,0,
presence,pres_000018,PASS,0,
presence,pres_000019,PASS,0,
presence,pres_000020,PASS,0,
presence,pres_000021,PASS,0,
presence,pres_000022,PASS,0,
presence,pres_000023,PASS,0,
presence,pres_000024,PASS,0,
presence,pres_000025,PASS,0,
presence,pres_000026,PASS,0,
presence,pres_000027,PASS,0,
presence,pres_000028,PASS,0,
presence,pres_000029,PASS,0,
presence,pres_000030,PASS,0,
presence,pres_000031,PASS,0,
presence,pres_000032,PASS,0,
presence,pres_000033,PASS,0,
presence,pres_000034,PASS,0,
presence,pres_000035,PASS,0,
presence,pres_000036,PASS,0,
presence,pres_000037,PASS,0,
presence,pres_000038,PASS,0,
presence,pres_000039,PASS,0,
presence,pres_000040,PASS,0,
presence,pres_000041,PASS,0,
presence,pres_000042,PASS,0,
presence,pres_000043,PASS,0,
presence,pres_000044,PASS,0,
presence,pres_000045,PASS,0,
presence,pres_000046,PASS,0,
presence,pres_000047,PASS,0,
presence,pres_000048,PASS,0,
presence,pres_000049,PASS,0,
presence,pres_000050,PASS,0,
presence,pres_000051,PASS,0,
presence,pres_000052,PASS,0,
presence,pres_000053,PASS,0,
presence,pres_000054,PASS,0,
presence,pres_000055,PASS,0,
presence,pres_000056,PASS,0,
presence,pres_000057,PASS,0,
presence,pres_000058,PASS,0,
presence,pres_000059,PASS,0,
presence,pres_000060,PASS,0,
presence,pres_000061,PASS,0,
presence,pres_000062,PASS,0,
presence,pres_000063,PASS,0,
presence,pres_000064,PASS,0,
presence,pres_000065,PASS,0,
presence,pres_000066,PASS,0,
presence,pres_000067,PASS,0,
presence,pres_000068,PASS,0,
presence,pres_000069,PASS,0,
presence,pres_000070,PASS,0,
presence,pres_000071,PASS,0,
presence,pres_000072,PASS,0,
presence,pres_000073,PASS,0,
presence,pres_000074,PASS,0,
presence,pres_000075,PASS,0,
presence,pres_000076,PASS,0,
presence,pres_000077,PASS,0,
presence,pres_000078,PASS,0,
presence,pres_000079,PASS,0,
presence,pres_000080,PASS,0,
presence,pres_000081,PASS,0,
presence,pres_000082,PASS,0,
presence,pres_000083,PASS,0,
presence,pres_000084,PASS,0,
presence,pres_000085,PASS,0,
presence,pres_000086,PASS,0,
presence,pres_000087,PASS,0,
presence,pres_000088,PASS,0,
presence,pres_000089,PASS,0,
presence,pres_000090,PASS,0,
presence,pres_000091,PASS,0,
presence,pres_000092,PASS,0,
presence,pres_000093,PASS,0,
presence,pres_000094,PASS,0,
presence,pres_000095,PASS,0,
presence,pres_000096,PASS,0,
presence,pres_000097,PASS,0,
presence,pres_000098,PASS,0,
presence,pres_000099,PASS,0,
presence,pres_000100,PASS,0,
presence,pres_000101,PASS,0,
presence,pres_000102,PASS,0,
presence,pres_000103,PASS,0,
presence,pres_000104,PASS,0,
presence,pres_000105,PASS,0,
presence,pres_000106,PASS,0,
presence,pres_000107,PASS,0,
presence,pres_000108,PASS,0,
presence,pres_000109,PASS,0,
presence,pres_000110,PASS,0,
presence,pres_000111,PASS,0,
presence,pres_000112,PASS,0,
presence,pres_000113,PASS,0,
presence,pres_000114,PASS,0,
presence,pres_000115,PASS,0,
presence,pres_000116,PASS,0,
presence,pres_000117,PASS,0,
presence,pres_000118,PASS,0,
presence,pres_000119,PASS,0,
presence,pres_000120,PASS,0,
presence,pres_000121,PASS,0,
presence,pres_000122,PASS,0,
presence,pres_000123,PASS,0,
presence,pres_000124,PASS,0,
presence,pres_000125,PASS,0,
presence,pres_000126,PASS,0,
presence,pres_000127,PASS,0,
presence,pres_000128,PASS,0,
presence,pres_000129,PASS,0,
presence,pres_000130,PASS,0,
presence,pres_000131,PASS,0,
presence,pres_000132,PASS,0,
presence,pres_000133,PASS,0,
presence,pres_000134,PASS,0,
presence,pres_000135,PASS,0,
presence,pres_000136,PASS,0,
presence,pres_000137,PASS,0,
presence,pres_000138,PASS,0,
presence,pres_000139,PASS,0,
presence,pres_000140,PASS,0,
presence,pres_000141,PASS,0,
presence,pres_000142,PASS,0,
presence,pres_000143,PASS,0,
presence,pres_000144,PASS,0,
presence,pres_000145,PASS,0,
presence,pres_000146,PASS,0,
presence,pres_000147,PASS,0,
presence,pres_000148,PASS,0,
presence,pres_000149,PASS,0,
presence,pres_000150,PASS,0,
presence,pres_000151,PASS,0,
presence,pres_000152,PASS,0,
presence,pres_000153,PASS,0,
presence,pres_000154,PASS,0,
presence,pres_000155,PASS,0,
presence,pres_000156,PASS,0,
presence,pres_000157,PASS,0,
presence,pres_000158,PASS,0,
presence,pres_000159,PASS,0,
presence,pres_000160,PASS,0,
presence,pres_000161,PASS,0,
presence,pres_000162,PASS,0,
presence,pres_000163,PASS,0,
presence,pres_000164,PASS,0,
presence,pres_000165,PASS,0,
presence,pres_000166,PASS,0,
presence,pres_000167,PASS,0,
presence,pres_000168,PASS,0,
presence,pres_000169,PASS,0,
presence,pres_000170,PASS,0,
presence,pres_000171,PASS,0,
presence,pres_000172,PASS,0,
presence,pres_000173,PASS,0,
presence,pres_000174,PASS,0,
presence,pres_000175,PASS,0,
presence,pres_000176,PASS,0,
presence,pres_000177,PASS,0,
presence,pres_000178,PASS,0,
presence,pres_000179,PASS,0,
presence,pres_000180,PASS,0,
presence,pres_000181,PASS,0,
presence,pres_000182,PASS,0,
presence,pres_000183,PASS,0,
presence,pres_000184,PASS,0,
presence,pres_000185,PASS,0,
presence,pres_000186,PASS,0,
presence,pres_000187,PASS,0,
presence,pres_000188,PASS,0,
presence,pres_000189,PASS,0,
presence,pres_000190,PASS,0,
presence,pres_000191,PASS,0,
presence,pres_000192,PASS,0,
presence,pres_000193,PASS,0,
presence,pres_000194,PASS,0,
presence,pres_000195,PASS,0,
presence,pres_000196,PASS,0,
presence,pres_000197,PASS,0,
presence,pres_000198,PASS,0,
presence,pres_000199,PASS,0,
