factor,triplet_id,status,n_flags,flags
spatial,spat_000000,PASS,0,
spatial,spat_000001,PASS,0,
spatial,spat_000002,BORDERLINE,1,BORDERLINE: relevant/irrelevant RGB magnitude ratio 5.338
spatial,spat_000003,PASS,0,
spatial,spat_000004,PASS,0,
spatial,spat_000005,PASS,0,
spatial,spat_000006,PASS,0,
spatial,spat_000007,PASS,0,
spatial,spat_000008,PASS,0,
spatial,spat_000009,PASS,0,
spatial,spat_000010,PASS,0,
spatial,spat_000011,PASS,0,
spatial,spat_000012,PASS,0,
spatial,spat_000013,PASS,0,
spatial,spat_000014,PASS,0,
spatial,spat_000015,PASS,0,
spatial,spat_000016,PASS,0,
spatial,spat_000017,PASS,0,
spatial,spat_000018,PASS,0,
spatial,spat_000019,PASS,0,
spatial,spat_000020,PASS,0,
spatial,spat_000021,PASS,0,
spatial,spat_000022,PASS,0,
spatial,spat_000023,PASS,0,
spatial,spat_000024,PASS,0,
spatial,spat_000025,PASS,0,
spatial,spat_000026,PASS,0,
spatial,spat_000027,PASS,0,
spatial,spat_000028,PASS,0,
spatial,spat_000029,PASS,0,
spatial,spat_000030,PASS,0,
spatial,spat_000031,PASS,0,
spatial,spat_000032,PASS,0,
spatial,spat_000033,PASS,0,
spatial,spat_000034,PASS,0,
spatial,spat_000035,PASS,0,
spatial,spat_000036,PASS,0,
spatial,spat_000037,PASS,0,
spatial,spat_000038,PASS,0,
spatial,spat_000039,PASS,0,
spatial,spat_000040,PASS,0,
spatial,spat_000041,PASS,0,
spatial,spat_000042,PASS,0,
spatial,spat_000043,PASS,0,
spatial,spat_000044,PASS,0,
spatial,spat_000045,PASS,0,
spatial,spat_000046,PASS,0,
spatial,spat_000047,PASS,0,
spatial,spat_000048,PASS,0,
spatial,spat_000049,PASS,0,
spatial,spat_000050,PASS,0,
spatial,spat_000051,PASS,0,
spatial,spat_000052,PASS,0,
spatial,spat_000053,PASS,0,
spatial,spat_000054,PASS,0,
spatial,spat_000055,PASS,0,
spatial,spat_000056,PASS,0,
spatial,spat_000057,PASS,0,
spatial,spat_000058,PASS,0,
spatial,spat_000059,PASS,0,
spatial,spat_000060,PASS,0,
spatial,spat_000061,PASS,0,
spatial,spat_000062,PASS,0,
spatial,spat_000063,PASS,0,
spatial,spat_000064,PASS,0,
spatial,spat_000065,PASS,0,
spatial,spat_000066,PASS,0,
spatial,spat_000067,PASS,0,
spatial,spat_000068,PASS,0,
spatial,spat_000069,PASS,0,
spatial,spat_000070,PASS,0,
spatial,spat_000071,PASS,0,
spatial,spat_000072,PASS,0,
spatial,spat_000073,PASS,0,
spatial,spat_000074,PASS,0,
spatial,spat_000075,PASS,0,
spatial,spat_000076,PASS,0,
spatial,spat_000077,BORDERLINE,1,BORDERLINE: relevant/irrelevant RGB magnitude ratio 4.193
spatial,spat_000078,PASS,0,
spatial,spat_000079,PASS,0,
spatial,spat_000080,PASS,0,
spatial,spat_000081,PASS,0,
spatial,spat_000082,PASS,0,
spatial,spat_000083,PASS,0,
spatial,spat_000084,PASS,0,
spatial,spat_000085,PASS,0,
spatial,spat_000086,PASS,0,
spatial,spat_000087,PASS,0,
spatial,spat_000088,PASS,0,
spatial,spat_000089,PASS,0,
spatial,spat_000090,PASS,0,
spatial,spat_000091,PASS,0,
spatial,spat_000092,PASS,0,
spatial,spat_000093,PASS,0,
spatial,spat_000094,PASS,0,
spatial,spat_000095,PASS,0,
spatial,spat_000096,PASS,0,
spatial,spat_000097,PASS,0,
spatial,spat_000098,PASS,0,
spatial,spat_000099,PASS,0,
spatial,spat_000100,PASS,0,
spatial,spat_000101,PASS,0,
spatial,spat_000102,PASS,0,
spatial,spat_000103,PASS,0,
spatial,spat_000104,PASS,0,
spatial,spat_000105,PASS,0,
spatial,spat_000106,PASS,0,
spatial,spat_000107,PASS,0,
spatial,spat_000108,PASS,0,
spatial,spat_000109,PASS,0,
spatial,spat_000110,PASS,0,
spatial,spat_000111,PASS,0,
spatial,spat_000112,PASS,0,
spatial,spat_000113,PASS,0,
spatial,spat_000114,PASS,0,
spatial,spat_000115,PASS,0,
spatial,spat_000116,PASS,0,
spatial,spat_000117,PASS,0,
spatial,spat_000118,PASS,0,
spatial,spat_000119,PASS,0,
spatial,spat_000120,PASS,0,
spatial,spat_000121,PASS,0,
spatial,spat_000122,PASS,0,
spatial,spat_000123,PASS,0,
spatial,spat_000124,PASS,0,
spatial,spat_000125,PASS,0,
spatial,spat_000126,PASS,0,
spatial,spat_000127,PASS,0,
spatial,spat_000128,PASS,0,
spatial,spat_000129,PASS,0,
spatial,spat_000130,PASS,0,
spatial,spat_000131,PASS,0,
spatial,spat_000132,PASS,0,
spatial,spat_000133,PASS,0,
spatial,spat_000134,PASS,0,
spatial,spat_000135,PASS,0,
spatial,spat_000136,PASS,0,
spatial,spat_000137,PASS,0,
spatial,spat_000138,PASS,0,
spatial,spat_000139,PASS,0,
spatial,spat_000140,BORDERLINE,1,BORDERLINE: relevant/irrelevant RGB magnitude ratio 4.018
spatial,spat_000141,PASS,0,
spatial,spat_000142,PASS,0,
spatial,spat_000143,PASS,0,
spatial,spat_000144,PASS,0,
spatial,spat_000145,PASS,0,
spatial,spat_000146,PASS,0,
spatial,spat_000147,PASS,0,
spatial,spat_000148,PASS,0,
spatial,spat_000149,PASS,0,
spatial,spat_000150,PASS,0,
spatial,spat_000151,PASS,0,
spatial,spat_000152,PASS,0,
spatial,spat_000153,PASS,0,
spatial,spat_000154,PASS,0,
spatial,spat_000155,PASS,0,
spatial,spat_000156,PASS,0,
spatial,spat_000157,PASS,0,
spatial,spat_000158,PASS,0,
spatial,spat_000159,PASS,0,
spatial,spat_000160,PASS,0,
spatial,spat_000161,PASS,0,
spatial,spat_000162,PASS,0,
spatial,spat_000163,PASS,0,
spatial,spat_000164,PASS,0,
spatial,spat_000165,PASS,0,
spatial,spat_000166,PASS,0,
spatial,spat_000167,PASS,0,
spatial,spat_000168,PASS,0,
spatial,spat_000169,PASS,0,
spatial,spat_000170,BORDERLINE,1,BORDERLINE: relevant/irrelevant RGB magnitude ratio 4.478
spatial,spat_000171,PASS,0,
spatial,spat_000172,PASS,0,
spatial,spat_000173,PASS,0,
spatial,spat_000174,PASS,0,
spatial,spat_000175,PASS,0,
spatial,spat_000176,PASS,0,
spatial,spat_000177,PASS,0,
spatial,spat_000178,PASS,0,
spatial,spat_000179,PASS,0,
spatial,spat_000180,PASS,0,
spatial,spat_000181,PASS,0,
spatial,spat_000182,PASS,0,
spatial,spat_000183,PASS,0,
spatial,spat_000184,PASS,0,
spatial,spat_000185,PASS,0,
spatial,spat_000186,PASS,0,
spatial,spat_000187,PASS,0,
spatial,spat_000188,PASS,0,
spatial,spat_000189,PASS,0,
spatial,spat_000190,PASS,0,
spatial,spat_000191,PASS,0,
spatial,spat_000192,PASS,0,
spatial,spat_000193,PASS,0,
spatial,spat_000194,PASS,0,
spatial,spat_000195,PASS,0,
spatial,spat_000196,PASS,0,
spatial,spat_000197,PASS,0,
spatial,spat_000198,PASS,0,
spatial,spat_000199,PASS,0,
spatial,spat_000200,BORDERLINE,1,BORDERLINE: relevant/irrelevant RGB magnitude ratio 4.103
spatial,spat_000201,PASS,0,
spatial,spat_000202,PASS,0,
