model_id,family,factor,A,U8
qwen3_vl_4b_instruct,qa_family_0,count,0.8148926968906456,0.6705344287702399
gemma3_4b_it,qa_family_1,count,0.7933219064054788,0.7088352548044837
molmo_7b_d_0924,qa_family_2,count,0.8091540636223976,0.6624679075390927
skywork_vl_reward_7b,qa_family_3,count,0.7807571023230512,0.7961830072039291
idefics3_8b_llama3,qa_family_4,count,0.8019710779610502,0.7347737227435119
phi35_vision_instruct,qa_family_5,count,0.8288593741079513,0.7094756247246935
internvl3_8b_hf,qa_family_6,count,0.8247828317923767,0.6788232463012418
llava_onevision_qwen2_7b,qa_family_7,count,0.7707072888045815,0.820141685505878
qwen3_vl_4b_instruct,qa_family_0,attribute,0.7846310141794346,0.80061613103406
gemma3_4b_it,qa_family_1,attribute,0.8131865512595019,0.6887877960556708
molmo_7b_d_0924,qa_family_2,attribute,0.804551013676944,0.6556489046455565
skywork_vl_reward_7b,qa_family_3,attribute,0.8217092451707352,0.782777081514725
idefics3_8b_llama3,qa_family_4,attribute,0.7780969041493834,0.6899838860034458
phi35_vision_instruct,qa_family_5,attribute,0.8389106219715415,0.6853861435308924
internvl3_8b_hf,qa_family_6,attribute,0.8015033531735634,0.804139679472848
llava_onevision_qwen2_7b,qa_family_7,attribute,0.8240523722771642,0.7456373244148996
qwen3_vl_4b_instruct,qa_family_0,presence,0.8392523080678684,0.7118810893921652
gemma3_4b_it,qa_family_1,presence,0.8122996833752432,0.8116750332458209
molmo_7b_d_0924,qa_family_2,presence,0.80040230144016,0.6979146555003072
skywork_vl_reward_7b,qa_family_3,presence,0.8319368595695371,0.7070666392681398
idefics3_8b_llama3,qa_family_4,presence,0.8092377255481421,0.7103212162856274
phi35_vision_instruct,qa_family_5,presence,0.7777702872411395,0.7753495489095733
internvl3_8b_hf,qa_family_6,presence,0.8143301238716432,0.667548811087058
llava_onevision_qwen2_7b,qa_family_7,presence,0.8150880675709864,0.7731156731462514
qwen3_vl_4b_instruct,qa_family_0,spatial,0.8116670315420297,0.7846779194468916
gemma3_4b_it,qa_family_1,spatial,0.7925199418525916,0.6901349052627447
molmo_7b_d_0924,qa_family_2,spatial,0.8068236813039075,0.7557361471949195
skywork_vl_reward_7b,qa_family_3,spatial,0.8161630577807764,0.7092511726970882
idefics3_8b_llama3,qa_family_4,spatial,0.8367993954134276,0.6821284365045225
phi35_vision_instruct,qa_family_5,spatial,0.7978209767953396,0.6895615149189936
internvl3_8b_hf,qa_family_6,spatial,0.8226265122384575,0.8256442627446501
llava_onevision_qwen2_7b,qa_family_7,spatial,0.8338214035835583,0.6833750241858841
