factor,held_out_family,n_train,n_test,M0,M1,delta_mae
count,qa_family_0,7,1,"{""mae"": 0.029345118375261325, ""rmse"": 0.029345118375261325}","{""mae"": 0.005083866480468435, ""rmse"": 0.005083866480468435}",0.02426125189479289
count,qa_family_1,7,1,"{""mae"": 0.04354829719357489, ""rmse"": 0.04354829719357489}","{""mae"": 0.11780714701866579, ""rmse"": 0.11780714701866579}",-0.0742588498250909
count,qa_family_2,7,1,"{""mae"": 0.053160520335607364, ""rmse"": 0.053160520335607364}","{""mae"": 0.09771189330281649, ""rmse"": 0.09771189330281649}",-0.044551372967209124
count,qa_family_3,7,1,"{""mae"": 0.02984679191056072, ""rmse"": 0.02984679191056072}","{""mae"": 0.017089314706474568, ""rmse"": 0.017089314706474568}",0.012757477204086154
count,qa_family_4,7,1,"{""mae"": 0.010940587392398116, ""rmse"": 0.010940587392398116}","{""mae"": 0.037683578502967996, ""rmse"": 0.037683578502967996}",-0.02674299111056988
count,qa_family_5,7,1,"{""mae"": 0.07311250368711464, ""rmse"": 0.07311250368711464}","{""mae"": 0.06978464723898081, ""rmse"": 0.06978464723898081}",0.0033278564481338258
count,qa_family_6,7,1,"{""mae"": 0.010150480819820507, ""rmse"": 0.010150480819820507}","{""mae"": 0.010525779627240883, ""rmse"": 0.010525779627240883}",-0.0003752988074203767
count,qa_family_7,7,1,"{""mae"": 0.04112461221156549, ""rmse"": 0.04112461221156549}","{""mae"": 0.03914427750673799, ""rmse"": 0.03914427750673799}",0.001980334704827502
attribute,qa_family_0,7,1,"{""mae"": 0.08559061537755408, ""rmse"": 0.08559061537755408}","{""mae"": 0.03817529541219966, ""rmse"": 0.03817529541219966}",0.04741531996535442
attribute,qa_family_1,7,1,"{""mae"": 0.04691405118779857, ""rmse"": 0.04691405118779857}","{""mae"": 0.03539467980895772, ""rmse"": 0.03539467980895772}",0.011519371378840848
attribute,qa_family_2,7,1,"{""mae"": 0.08924901085964942, ""rmse"": 0.08924901085964942}","{""mae"": 0.0545775957327117, ""rmse"": 0.0545775957327117}",0.03467141512693772
attribute,qa_family_3,7,1,"{""mae"": 0.07018858628783886, ""rmse"": 0.07018858628783886}","{""mae"": 0.05372110640622252, ""rmse"": 0.05372110640622252}",0.016467479881616343
attribute,qa_family_4,7,1,"{""mae"": 0.09802909723877817, ""rmse"": 0.09802909723877817}","{""mae"": 0.052581810896739634, ""rmse"": 0.052581810896739634}",0.04544728634203854
attribute,qa_family_5,7,1,"{""mae"": 0.058774299731385815, ""rmse"": 0.058774299731385815}","{""mae"": 0.03203760765013974, ""rmse"": 0.03203760765013974}",0.026736692081246072
attribute,qa_family_6,7,1,"{""mae"": 0.08087632547866597, ""rmse"": 0.08087632547866597}","{""mae"": 0.043386868831739256, ""rmse"": 0.043386868831739256}",0.03748945664692671
attribute,qa_family_7,7,1,"{""mae"": 0.026592624621578298, ""rmse"": 0.026592624621578298}","{""mae"": 0.05239172027813899, ""rmse"": 0.05239172027813899}",-0.02579909565656069
presence,qa_family_0,7,1,"{""mae"": 0.004214395407132976, ""rmse"": 0.004214395407132976}","{""mae"": 0.17813545848151424, ""rmse"": 0.17813545848151424}",-0.17392106307438127
presence,qa_family_1,7,1,"{""mae"": 0.09099018917747659, ""rmse"": 0.09099018917747659}","{""mae"": 0.09418978240432574, ""rmse"": 0.09418978240432574}",-0.003199593226849151
presence,qa_family_2,7,1,"{""mae"": 0.05414516682452908, ""rmse"": 0.05414516682452908}","{""mae"": 0.04378500655476414, ""rmse"": 0.04378500655476414}",0.01036016026976494
