model_id,family,factor,PFC,U8
qwen3_vl_4b_instruct,qa_family_0,count,0.6253016768090287,0.6705344287702399
gemma3_4b_it,qa_family_1,count,0.45425439486421826,0.7088352548044837
molmo_7b_d_0924,qa_family_2,count,0.6287591259077279,0.6624679075390927
skywork_vl_reward_7b,qa_family_3,count,0.5128181708031799,0.7961830072039291
idefics3_8b_llama3,qa_family_4,count,0.6302432204872618,0.7347737227435119
phi35_vision_instruct,qa_family_5,count,0.5284828859505784,0.7094756247246935
internvl3_8b_hf,qa_family_6,count,0.5273182221993348,0.6788232463012418
llava_onevision_qwen2_7b,qa_family_7,count,0.5331690097660209,0.820141685505878
qwen3_vl_4b_instruct,qa_family_0,attribute,0.5888805557260995,0.80061613103406
gemma3_4b_it,qa_family_1,attribute,0.5102428655455543,0.6887877960556708
molmo_7b_d_0924,qa_family_2,attribute,0.6348143831022814,0.6556489046455565
skywork_vl_reward_7b,qa_family_3,attribute,0.6990054802993558,0.782777081514725
idefics3_8b_llama3,qa_family_4,attribute,0.45635886896726335,0.6899838860034458
phi35_vision_instruct,qa_family_5,attribute,0.6707790944120416,0.6853861435308924
internvl3_8b_hf,qa_family_6,attribute,0.5980124168636861,0.804139679472848
llava_onevision_qwen2_7b,qa_family_7,attribute,0.519296431821755,0.7456373244148996
qwen3_vl_4b_instruct,qa_family_0,presence,0.6952432497029163,0.7118810893921652
gemma3_4b_it,qa_family_1,presence,0.5247581977938133,0.8116750332458209
molmo_7b_d_0924,qa_family_2,presence,0.48415253963407195,0.6979146555003072
skywork_vl_reward_7b,qa_family_3,presence,0.5567662759364211,0.7070666392681398
idefics3_8b_llama3,qa_family_4,presence,0.6474984424515867,0.7103212162856274
phi35_vision_instruct,qa_family_5,presence,0.5887791126935888,0.7753495489095733
internvl3_8b_hf,qa_family_6,presence,0.45356729030004483,0.667548811087058
llava_onevision_qwen2_7b,qa_family_7,presence,0.5564418610700941,0.7731156731462514
qwen3_vl_4b_instruct,qa_family_0,spatial,0.5211483336686726,0.7846779194468916
gemma3_4b_it,qa_family_1,spatial,0.6970904725276421,0.6901349052627447
molmo_7b_d_0924,qa_family_2,spatial,0.4798629598218387,0.7557361471949195
skywork_vl_reward_7b,qa_family_3,spatial,0.45458076546065207,0.7092511726970882
idefics3_8b_llama3,qa_family_4,spatial,0.5979208106334646,0.6821284365045225
phi35_vision_instruct,qa_family_5,spatial,0.4944002718823577,0.6895615149189936
internvl3_8b_hf,qa_family_6,spatial,0.6812785910972982,0.8256442627446501
llava_onevision_qwen2_7b,qa_family_7,spatial,0.5891585584678642,0.6833750241858841
