model_id,family,factor,PSC,U8
qwen3_vl_4b_instruct,qa_family_0,count,0.7332487456618696,0.6705344287702399
gemma3_4b_it,qa_family_1,count,0.6510569199474554,0.7088352548044837
molmo_7b_d_0924,qa_family_2,count,0.5898299340904203,0.6624679075390927
skywork_vl_reward_7b,qa_family_3,count,0.553174989072519,0.7961830072039291
idefics3_8b_llama3,qa_family_4,count,0.672636566160741,0.7347737227435119
phi35_vision_instruct,qa_family_5,count,0.6133234086138082,0.7094756247246935
internvl3_8b_hf,qa_family_6,count,0.5871811991592588,0.6788232463012418
llava_onevision_qwen2_7b,qa_family_7,count,0.5871454095692903,0.820141685505878
qwen3_vl_4b_instruct,qa_family_0,attribute,0.7110629615675174,0.80061613103406
gemma3_4b_it,qa_family_1,attribute,0.5875284413075559,0.6887877960556708
molmo_7b_d_0924,qa_family_2,attribute,0.6186900016967279,0.6556489046455565
skywork_vl_reward_7b,qa_family_3,attribute,0.7947484292004539,0.782777081514725
idefics3_8b_llama3,qa_family_4,attribute,0.6028618229565192,0.6899838860034458
phi35_vision_instruct,qa_family_5,attribute,0.6412521370749596,0.6853861435308924
internvl3_8b_hf,qa_family_6,attribute,0.7166004613400087,0.804139679472848
llava_onevision_qwen2_7b,qa_family_7,attribute,0.7137141731268635,0.7456373244148996
qwen3_vl_4b_instruct,qa_family_0,presence,0.6989510371467021,0.7118810893921652
gemma3_4b_it,qa_family_1,presence,0.563613395841778,0.8116750332458209
molmo_7b_d_0924,qa_family_2,presence,0.5898423024071857,0.6979146555003072
skywork_vl_reward_7b,qa_family_3,presence,0.7555641089993949,0.7070666392681398
idefics3_8b_llama3,qa_family_4,presence,0.7005490152867692,0.7103212162856274
phi35_vision_instruct,qa_family_5,presence,0.559077043795339,0.7753495489095733
internvl3_8b_hf,qa_family_6,presence,0.5975781705500502,0.667548811087058
llava_onevision_qwen2_7b,qa_family_7,presence,0.6291954218858142,0.7731156731462514
qwen3_vl_4b_instruct,qa_family_0,spatial,0.6691235258635682,0.7846779194468916
gemma3_4b_it,qa_family_1,spatial,0.6299971299371874,0.6901349052627447
molmo_7b_d_0924,qa_family_2,spatial,0.5746631977651563,0.7557361471949195
skywork_vl_reward_7b,qa_family_3,spatial,0.7339509497796556,0.7092511726970882
idefics3_8b_llama3,qa_family_4,spatial,0.5574581035957652,0.6821284365045225
phi35_vision_instruct,qa_family_5,spatial,0.6557510653541845,0.6895615149189936
internvl3_8b_hf,qa_family_6,spatial,0.7499929600487031,0.8256442627446501
llava_onevision_qwen2_7b,qa_family_7,spatial,0.6071549174775903,0.6833750241858841
