dataset,split,source_example_id,source_image_id,physical_image_path,image_hash,manifest_row_id,factor,variant,pool_id,numeric_tail,carrier
tallyqa,audit,count_000000:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000000_base.png,8f714ad421ca7788bac778cdcc0730cfe4de1b2a167c5b454bcab600ac1aa63a,count_000000:base,count,base,,000000,tallyqa
tallyqa,audit,count_000000:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000000_relevant.png,ed1af15dbcdee9d3d603c31fae40f33f8f46a515db4841d6489f0295b54fb153,count_000000:relevant,count,relevant,,000000,tallyqa
tallyqa,audit,count_000000:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000000_irrelevant.png,ca394d38b31509926afeb685c576a8b5ff42c89fc6a147c5b3705e2ff93230a8,count_000000:irrelevant,count,irrelevant,,000000,tallyqa
tallyqa,audit,count_000001:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000001_base.png,0e0d0c471df63c1fd93eec576ddde2a473d3a7cca0e3531e9abc16ada39c73ff,count_000001:base,count,base,,000001,tallyqa
tallyqa,audit,count_000001:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000001_relevant.png,22327f1c70b9e9a0d07a94f527159c3a4c4af44c431dd75a269691c751d50ea9,count_000001:relevant,count,relevant,,000001,tallyqa
tallyqa,audit,count_000001:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000001_irrelevant.png,43ecb39c08a2bc6a8b29675f6944c437ad33630be2b86f4dd00fad84f222375e,count_000001:irrelevant,count,irrelevant,,000001,tallyqa
tallyqa,audit,count_000002:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000002_base.png,a7068b4564ab0b189081dce5fa18bc9af28b553c864c56897fa448f857f2dacf,count_000002:base,count,base,,000002,tallyqa
tallyqa,audit,count_000002:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000002_relevant.png,b0a925668f7cc1d4c62ce2de89742d7a7c2176db828675368644f0d8d78d9637,count_000002:relevant,count,relevant,,000002,tallyqa
tallyqa,audit,count_000002:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000002_irrelevant.png,df54b5695b5c3a46bb2d6cf5fc9c78ee2731b721e9d1477cebde62451fb8c048,count_000002:irrelevant,count,irrelevant,,000002,tallyqa
tallyqa,audit,count_000003:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000003_base.png,7628a0304c659d7c249769ec9c3703aca5b647c96a1f7e68d51ccdf6ff69fc97,count_000003:base,count,base,,000003,tallyqa
tallyqa,audit,count_000003:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000003_relevant.png,4314f753975e278aaf78889314ec797b9d5e59a4c3dcff7565bd28276dafd0cf,count_000003:relevant,count,relevant,,000003,tallyqa
tallyqa,audit,count_000003:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000003_irrelevant.png,22fd9dbf72d420fdd142c0ba3af9d9995306713269388e0711c6688245e6c141,count_000003:irrelevant,count,irrelevant,,000003,tallyqa
tallyqa,audit,count_000004:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000004_base.png,044842661b3e7b6450ba66f25829301c35025a8ffe566f989d64558c415a71fd,count_000004:base,count,base,,000004,tallyqa
tallyqa,audit,count_000004:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000004_relevant.png,59ab7f2a6a37665091ba8a28ec30bdfcaf8a98d7e9e83ac40aa823092c4acba2,count_000004:relevant,count,relevant,,000004,tallyqa
tallyqa,audit,count_000004:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000004_irrelevant.png,0f488deb9a2fa9cc156b1501461f6fbc7f72a3e491f985e2e4b4d27ba0d147c2,count_000004:irrelevant,count,irrelevant,,000004,tallyqa
tallyqa,audit,count_000005:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000005_base.png,4ad19690d1ac1c703795de32f004c11346a36bccf0f32ac9dc17bc571344941d,count_000005:base,count,base,,000005,tallyqa
