model_id,display,factor,n_triplets,n_cond,A_S,A_B,A_S_minus_A_B,RA,II,PFC,PSC,PFC_equals_AB_RA,PSC_equals_AB_II,paper_A_S,paper_A_audit,paper_RA,paper_II,paper_PFC,paper_PSC,match_paper_RA,match_paper_A_audit,n_judgment_rows
qwen3_vl_4b_instruct,Qwen,attribute,200,200,0.82,1.0,-0.18000000000000005,1.0,1.0,1.0,1.0,True,True,0.82,1.0,1.0,1.0,1.0,1.0,True,True,2400
qwen3_vl_4b_instruct,Qwen,count,200,200,0.915,1.0,-0.08499999999999996,0.17,1.0,0.17,1.0,True,True,0.915,1.0,0.17,1.0,0.17,1.0,True,True,2400
qwen3_vl_4b_instruct,Qwen,presence,200,199,0.895,0.995,-0.09999999999999998,1.0,1.0,0.995,0.995,True,True,0.895,0.995,1.0,1.0,0.995,0.995,True,True,2400
qwen3_vl_4b_instruct,Qwen,spatial,200,200,0.8,1.0,-0.19999999999999996,0.985,1.0,0.985,1.0,True,True,0.8,1.0,0.985,1.0,0.985,1.0,True,True,2400
gemma3_4b_it,Gemma,attribute,200,187,0.725,0.935,-0.21000000000000008,0.9518716577540107,0.9732620320855615,0.89,0.91,True,True,0.725,0.935,0.9518716577540107,0.9732620320855615,0.89,0.91,True,True,2400
gemma3_4b_it,Gemma,count,200,145,0.385,0.725,-0.33999999999999997,0.32413793103448274,0.8758620689655172,0.235,0.635,True,True,0.385,0.725,0.32413793103448274,0.8758620689655172,0.235,0.635,True,True,2400
gemma3_4b_it,Gemma,presence,200,198,0.75,0.99,-0.24,0.601010101010101,1.0,0.595,0.99,True,True,0.75,0.99,0.601010101010101,1.0,0.595,0.99,True,True,2400
gemma3_4b_it,Gemma,spatial,200,146,0.56,0.73,-0.16999999999999993,0.0,0.9794520547945206,0.0,0.715,True,True,0.56,0.73,0.0,0.9794520547945206,0.0,0.715,True,True,2400
molmo_7b_d_0924,Molmo,attribute,200,193,0.67,0.965,-0.29499999999999993,0.9896373056994818,0.9896373056994818,0.955,0.955,True,True,0.67,0.965,0.9896373056994818,0.9896373056994818,0.955,0.955,True,True,2400
molmo_7b_d_0924,Molmo,count,200,102,0.625,0.51,0.11499999999999999,0.18627450980392157,0.9705882352941176,0.095,0.495,True,True,0.625,0.51,0.18627450980392157,0.9705882352941176,0.095,0.495,True,True,2400
molmo_7b_d_0924,Molmo,presence,200,199,0.795,0.995,-0.19999999999999996,0.7437185929648241,0.9899497487437185,0.74,0.985,True,True,0.795,0.995,0.7437185929648241,0.9899497487437185,0.74,0.985,True,True,2400
molmo_7b_d_0924,Molmo,spatial,200,148,0.66,0.74,-0.07999999999999996,0.39864864864864863,0.9932432432432432,0.295,0.735,True,True,0.66,0.74,0.39864864864864863,0.9932432432432432,0.295,0.735,True,True,2400
skywork_vl_reward_7b,Skywork,attribute,200,200,0.93,1.0,-0.06999999999999995,1.0,1.0,1.0,1.0,True,True,0.93,1.0,1.0,1.0,1.0,1.0,True,True,2400
skywork_vl_reward_7b,Skywork,count,200,199,0.76,0.995,-0.235,0.628140703517588,0.9899497487437185,0.625,0.985,True,True,0.76,0.995,0.628140703517588,0.9899497487437185,0.625,0.985,True,True,2400
skywork_vl_reward_7b,Skywork,presence,200,199,0.845,0.995,-0.15000000000000002,1.0,0.9849246231155779,0.995,0.98,True,True,0.845,0.995,1.0,0.9849246231155779,0.995,0.98,True,True,2400
skywork_vl_reward_7b,Skywork,spatial,200,200,0.845,1.0,-0.15500000000000003,0.86,1.0,0.86,1.0,True,True,0.845,1.0,0.86,1.0,0.86,1.0,True,True,2400
idefics3_8b_llama3,Idefics3,attribute,200,200,0.765,1.0,-0.235,1.0,1.0,1.0,1.0,True,True,0.765,1.0,1.0,1.0,1.0,1.0,True,True,2400
idefics3_8b_llama3,Idefics3,count,200,189,0.815,0.945,-0.13,0.7142857142857143,0.9576719576719577,0.675,0.905,True,True,0.815,0.945,0.7142857142857143,0.9576719576719577,0.675,0.905,True,True,2400
idefics3_8b_llama3,Idefics3,presence,200,200,0.79,1.0,-0.20999999999999996,1.0,0.995,1.0,0.995,True,True,0.79,1.0,1.0,0.995,1.0,0.995,True,True,2400
idefics3_8b_llama3,Idefics3,spatial,200,200,0.64,1.0,-0.36,0.55,1.0,0.55,1.0,True,True,0.64,1.0,0.55,1.0,0.55,1.0,True,True,2400
phi35_vision_instruct,Phi,attribute,200,186,0.805,0.93,-0.125,0.8494623655913979,0.8924731182795699,0.79,0.83,True,True,0.805,0.93,0.8494623655913979,0.8924731182795699,0.79,0.83,True,True,2400
phi35_vision_instruct,Phi,count,200,165,0.635,0.825,-0.18999999999999995,0.2,0.9515151515151515,0.165,0.785,True,True,0.635,0.825,0.2,0.9515151515151515,0.165,0.785,True,True,2400
phi35_vision_instruct,Phi,presence,200,180,0.92,0.9,0.020000000000000018,0.7388888888888889,0.9722222222222222,0.665,0.875,True,True,0.92,0.9,0.7388888888888889,0.9722222222222222,0.665,0.875,True,True,2400
phi35_vision_instruct,Phi,spatial,200,192,0.8484848484848485,0.96,-0.11151515151515146,0.4739583333333333,0.984375,0.455,0.945,True,True,0.8484848484848485,0.96,0.4739583333333333,0.984375,0.455,0.945,True,True,2400
llava_onevision_qwen2_7b,LLaVA,attribute,200,200,0.805,1.0,-0.19499999999999995,1.0,1.0,1.0,1.0,True,True,0.805,1.0,1.0,1.0,1.0,1.0,True,True,2400
llava_onevision_qwen2_7b,LLaVA,count,200,183,0.785,0.915,-0.13,0.4207650273224044,0.9890710382513661,0.385,0.905,True,True,0.785,0.915,0.4207650273224044,0.9890710382513661,0.385,0.905,True,True,2400
llava_onevision_qwen2_7b,LLaVA,presence,200,200,0.885,1.0,-0.11499999999999999,0.98,1.0,0.98,1.0,True,True,0.885,1.0,0.98,1.0,0.98,1.0,True,True,2400
llava_onevision_qwen2_7b,LLaVA,spatial,200,200,0.785,1.0,-0.21499999999999997,0.87,1.0,0.87,1.0,True,True,0.785,1.0,0.87,1.0,0.87,1.0,True,True,2400
internvl3_8b_hf,InternVL,attribute,200,200,0.855,1.0,-0.14500000000000002,1.0,1.0,1.0,1.0,True,True,0.855,1.0,1.0,1.0,1.0,1.0,True,True,2400
internvl3_8b_hf,InternVL,count,200,200,0.69,1.0,-0.31000000000000005,0.18,1.0,0.18,1.0,True,True,0.69,1.0,0.18,1.0,0.18,1.0,True,True,2400
internvl3_8b_hf,InternVL,presence,200,200,0.8,1.0,-0.19999999999999996,1.0,1.0,1.0,1.0,True,True,0.8,1.0,1.0,1.0,1.0,1.0,True,True,2400
