factor,model_a,model_b,model_id_a,model_id_b,A_S_a,A_S_b,delta_A_S,delta_A_S_pp,delta_RA,delta_RA_pp,delta_II,delta_II_pp,delta_PFC,delta_PFC_pp,delta_PSC,delta_PSC_pp
attribute,Qwen,Gemma,qwen3_vl_4b_instruct,gemma3_4b_it,0.82,0.725,0.09499999999999997,9.499999999999996,0.048128342245989275,4.8128342245989275,0.0267379679144385,2.67379679144385,0.10999999999999999,10.999999999999998,0.08999999999999997,8.999999999999996
attribute,Qwen,Molmo,qwen3_vl_4b_instruct,molmo_7b_d_0924,0.82,0.67,0.1499999999999999,14.999999999999991,0.010362694300518172,1.0362694300518172,0.010362694300518172,1.0362694300518172,0.04500000000000004,4.5000000000000036,0.04500000000000004,4.5000000000000036
attribute,Qwen,Skywork,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.82,0.93,0.1100000000000001,11.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attribute,Qwen,Idefics3,qwen3_vl_4b_instruct,idefics3_8b_llama3,0.82,0.765,0.05499999999999994,5.499999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attribute,Qwen,Phi,qwen3_vl_4b_instruct,phi35_vision_instruct,0.82,0.805,0.014999999999999902,1.4999999999999902,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004
attribute,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.82,0.805,0.014999999999999902,1.4999999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attribute,Qwen,InternVL,qwen3_vl_4b_instruct,internvl3_8b_hf,0.82,0.855,0.03500000000000003,3.500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attribute,Gemma,Molmo,gemma3_4b_it,molmo_7b_d_0924,0.725,0.67,0.05499999999999994,5.499999999999994,0.037765647945471104,3.7765647945471104,0.016375273613920327,1.6375273613920327,0.06499999999999995,6.499999999999995,0.04499999999999993,4.499999999999993
attribute,Gemma,Skywork,gemma3_4b_it,skywork_vl_reward_7b,0.725,0.93,0.20500000000000007,20.500000000000007,0.048128342245989275,4.8128342245989275,0.0267379679144385,2.67379679144385,0.10999999999999999,10.999999999999998,0.08999999999999997,8.999999999999996
attribute,Gemma,Idefics3,gemma3_4b_it,idefics3_8b_llama3,0.725,0.765,0.040000000000000036,4.0000000000000036,0.048128342245989275,4.8128342245989275,0.0267379679144385,2.67379679144385,0.10999999999999999,10.999999999999998,0.08999999999999997,8.999999999999996
attribute,Gemma,Phi,gemma3_4b_it,phi35_vision_instruct,0.725,0.805,0.08000000000000007,8.000000000000007,0.10240929216261285,10.240929216261286,0.08078891380599162,8.078891380599163,0.09999999999999998,9.999999999999998,0.08000000000000007,8.000000000000007
attribute,Gemma,LLaVA,gemma3_4b_it,llava_onevision_qwen2_7b,0.725,0.805,0.08000000000000007,8.000000000000007,0.048128342245989275,4.8128342245989275,0.0267379679144385,2.67379679144385,0.10999999999999999,10.999999999999998,0.08999999999999997,8.999999999999996
attribute,Gemma,InternVL,gemma3_4b_it,internvl3_8b_hf,0.725,0.855,0.13,13.0,0.048128342245989275,4.8128342245989275,0.0267379679144385,2.67379679144385,0.10999999999999999,10.999999999999998,0.08999999999999997,8.999999999999996
attribute,Molmo,Skywork,molmo_7b_d_0924,skywork_vl_reward_7b,0.67,0.93,0.26,26.0,0.010362694300518172,1.0362694300518172,0.010362694300518172,1.0362694300518172,0.04500000000000004,4.5000000000000036,0.04500000000000004,4.5000000000000036
attribute,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.67,0.765,0.09499999999999997,9.499999999999996,0.010362694300518172,1.0362694300518172,0.010362694300518172,1.0362694300518172,0.04500000000000004,4.5000000000000036,0.04500000000000004,4.5000000000000036
attribute,Molmo,Phi,molmo_7b_d_0924,phi35_vision_instruct,0.67,0.805,0.135,13.5,0.14017494010808396,14.017494010808395,0.09716418741991195,9.716418741991195,0.16499999999999992,16.499999999999993,0.125,12.5
attribute,Molmo,LLaVA,molmo_7b_d_0924,llava_onevision_qwen2_7b,0.67,0.805,0.135,13.5,0.010362694300518172,1.0362694300518172,0.010362694300518172,1.0362694300518172,0.04500000000000004,4.5000000000000036,0.04500000000000004,4.5000000000000036
attribute,Molmo,InternVL,molmo_7b_d_0924,internvl3_8b_hf,0.67,0.855,0.18499999999999994,18.499999999999993,0.010362694300518172,1.0362694300518172,0.010362694300518172,1.0362694300518172,0.04500000000000004,4.5000000000000036,0.04500000000000004,4.5000000000000036
attribute,Skywork,Idefics3,skywork_vl_reward_7b,idefics3_8b_llama3,0.93,0.765,0.16500000000000004,16.500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attribute,Skywork,Phi,skywork_vl_reward_7b,phi35_vision_instruct,0.93,0.805,0.125,12.5,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004
