factor,model_a,model_b,model_id_a,model_id_b,A_S_a,A_S_b,delta_A_S,delta_A_S_pp,delta_RA,delta_RA_pp,delta_II,delta_II_pp,delta_PFC,delta_PFC_pp,delta_PSC,delta_PSC_pp,epsilon_pp,role
attribute,Phi,LLaVA,phi35_vision_instruct,llava_onevision_qwen2_7b,0.805,0.805,0.0,0.0,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,0.0,post_hoc_sensitivity
attribute,Phi,LLaVA,phi35_vision_instruct,llava_onevision_qwen2_7b,0.805,0.805,0.0,0.0,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,0.5,post_hoc_sensitivity
presence,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.795,0.79,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.005050251256281446,0.5050251256281446,0.26,26.0,0.010000000000000009,1.0000000000000009,0.5,post_hoc_sensitivity
presence,Molmo,InternVL,molmo_7b_d_0924,internvl3_8b_hf,0.795,0.8,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.01005025125628145,1.005025125628145,0.26,26.0,0.015000000000000013,1.5000000000000013,0.5,post_hoc_sensitivity
spatial,Skywork,Phi,skywork_vl_reward_7b,phi35_vision_instruct,0.845,0.8484848484848485,0.003484848484848535,0.3484848484848535,0.38604166666666667,38.604166666666664,0.015625,1.5625,0.40499999999999997,40.5,0.05500000000000005,5.500000000000005,0.5,post_hoc_sensitivity
attribute,Phi,LLaVA,phi35_vision_instruct,llava_onevision_qwen2_7b,0.805,0.805,0.0,0.0,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,1.0,predeclared_primary
count,Molmo,Phi,molmo_7b_d_0924,phi35_vision_instruct,0.625,0.635,0.010000000000000009,1.0000000000000009,0.013725490196078438,1.3725490196078438,0.019073083778966105,1.9073083778966105,0.07,7.000000000000001,0.29000000000000004,29.000000000000004,1.0,predeclared_primary
presence,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.895,0.885,0.010000000000000009,1.0000000000000009,0.020000000000000018,2.0000000000000018,0.0,0.0,0.015000000000000013,1.5000000000000013,0.0050000000000000044,0.5000000000000004,1.0,predeclared_primary
presence,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.795,0.79,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.005050251256281446,0.5050251256281446,0.26,26.0,0.010000000000000009,1.0000000000000009,1.0,predeclared_primary
presence,Molmo,InternVL,molmo_7b_d_0924,internvl3_8b_hf,0.795,0.8,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.01005025125628145,1.005025125628145,0.26,26.0,0.015000000000000013,1.5000000000000013,1.0,predeclared_primary
presence,Idefics3,InternVL,idefics3_8b_llama3,internvl3_8b_hf,0.79,0.8,0.010000000000000009,1.0000000000000009,0.0,0.0,0.0050000000000000044,0.5000000000000004,0.0,0.0,0.0050000000000000044,0.5000000000000004,1.0,predeclared_primary
spatial,Skywork,Phi,skywork_vl_reward_7b,phi35_vision_instruct,0.845,0.8484848484848485,0.003484848484848535,0.3484848484848535,0.38604166666666667,38.604166666666664,0.015625,1.5625,0.40499999999999997,40.5,0.05500000000000005,5.500000000000005,1.0,predeclared_primary
attribute,Qwen,Phi,qwen3_vl_4b_instruct,phi35_vision_instruct,0.82,0.805,0.014999999999999902,1.4999999999999902,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,2.0,post_hoc_sensitivity
attribute,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.82,0.805,0.014999999999999902,1.4999999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,post_hoc_sensitivity
attribute,Phi,LLaVA,phi35_vision_instruct,llava_onevision_qwen2_7b,0.805,0.805,0.0,0.0,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,2.0,post_hoc_sensitivity
count,Molmo,Phi,molmo_7b_d_0924,phi35_vision_instruct,0.625,0.635,0.010000000000000009,1.0000000000000009,0.013725490196078438,1.3725490196078438,0.019073083778966105,1.9073083778966105,0.07,7.000000000000001,0.29000000000000004,29.000000000000004,2.0,post_hoc_sensitivity
presence,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.895,0.885,0.010000000000000009,1.0000000000000009,0.020000000000000018,2.0000000000000018,0.0,0.0,0.015000000000000013,1.5000000000000013,0.0050000000000000044,0.5000000000000004,2.0,post_hoc_sensitivity
presence,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.795,0.79,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.005050251256281446,0.5050251256281446,0.26,26.0,0.010000000000000009,1.0000000000000009,2.0,post_hoc_sensitivity
presence,Molmo,InternVL,molmo_7b_d_0924,internvl3_8b_hf,0.795,0.8,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.01005025125628145,1.005025125628145,0.26,26.0,0.015000000000000013,1.5000000000000013,2.0,post_hoc_sensitivity
presence,Idefics3,InternVL,idefics3_8b_llama3,internvl3_8b_hf,0.79,0.8,0.010000000000000009,1.0000000000000009,0.0,0.0,0.0050000000000000044,0.5000000000000004,0.0,0.0,0.0050000000000000044,0.5000000000000004,2.0,post_hoc_sensitivity
spatial,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.8,0.785,0.015000000000000013,1.5000000000000013,0.11499999999999999,11.5,0.0,0.0,0.11499999999999999,11.5,0.0,0.0,2.0,post_hoc_sensitivity
spatial,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.66,0.64,0.020000000000000018,2.0000000000000018,0.15135135135135142,15.135135135135142,0.006756756756756799,0.6756756756756799,0.25500000000000006,25.500000000000007,0.265,26.5,2.0,post_hoc_sensitivity
spatial,Skywork,Phi,skywork_vl_reward_7b,phi35_vision_instruct,0.845,0.8484848484848485,0.003484848484848535,0.3484848484848535,0.38604166666666667,38.604166666666664,0.015625,1.5625,0.40499999999999997,40.5,0.05500000000000005,5.500000000000005,2.0,post_hoc_sensitivity
attribute,Qwen,Phi,qwen3_vl_4b_instruct,phi35_vision_instruct,0.82,0.805,0.014999999999999902,1.4999999999999902,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,3.0,post_hoc_sensitivity
