model_id,display,factor,n,n_B1,audit_base_accuracy,n_000,n_001,n_010,n_011,n_100,n_101,n_110,n_111
qwen3_vl_4b_instruct,Qwen,attribute,200,200,1.0,0,0,0,0,0,0,0,200
qwen3_vl_4b_instruct,Qwen,count,200,200,1.0,0,0,0,0,0,166,0,34
qwen3_vl_4b_instruct,Qwen,presence,200,199,0.995,0,0,0,1,0,0,0,199
qwen3_vl_4b_instruct,Qwen,spatial,200,200,1.0,0,0,0,0,0,3,0,197
gemma3_4b_it,Gemma,attribute,200,187,0.935,0,0,2,11,0,9,5,173
gemma3_4b_it,Gemma,count,200,145,0.725,3,4,44,4,5,93,13,34
gemma3_4b_it,Gemma,presence,200,198,0.99,0,0,0,2,0,79,0,119
gemma3_4b_it,Gemma,spatial,200,146,0.73,24,30,0,0,3,143,0,0
molmo_7b_d_0924,Molmo,attribute,200,193,0.965,0,0,0,7,0,2,2,189
molmo_7b_d_0924,Molmo,count,200,102,0.51,0,0,96,2,0,83,3,16
molmo_7b_d_0924,Molmo,presence,200,199,0.995,0,0,0,1,0,51,2,146
molmo_7b_d_0924,Molmo,spatial,200,148,0.74,0,0,15,37,0,89,1,58
skywork_vl_reward_7b,Skywork,attribute,200,200,1.0,0,0,0,0,0,0,0,200
skywork_vl_reward_7b,Skywork,count,200,199,0.995,0,0,0,1,0,74,2,123
skywork_vl_reward_7b,Skywork,presence,200,199,0.995,0,0,1,0,0,0,3,196
skywork_vl_reward_7b,Skywork,spatial,200,200,1.0,0,0,0,0,0,28,0,172
idefics3_8b_llama3,Idefics3,attribute,200,200,1.0,0,0,0,0,0,0,0,200
idefics3_8b_llama3,Idefics3,count,200,189,0.945,0,0,8,3,0,54,8,127
idefics3_8b_llama3,Idefics3,presence,200,200,1.0,0,0,0,0,0,0,1,199
idefics3_8b_llama3,Idefics3,spatial,200,200,1.0,0,0,0,0,0,90,0,110
phi35_vision_instruct,Phi,attribute,200,186,0.93,0,0,6,8,6,22,14,144
phi35_vision_instruct,Phi,count,200,165,0.825,1,0,29,5,1,131,7,26
phi35_vision_instruct,Phi,presence,200,180,0.9,0,0,11,9,0,47,5,128
phi35_vision_instruct,Phi,spatial,200,192,0.96,0,0,5,3,0,101,3,88
llava_onevision_qwen2_7b,LLaVA,attribute,200,200,1.0,0,0,0,0,0,0,0,200
llava_onevision_qwen2_7b,LLaVA,count,200,183,0.915,0,0,11,6,0,106,2,75
llava_onevision_qwen2_7b,LLaVA,presence,200,200,1.0,0,0,0,0,0,4,0,196
llava_onevision_qwen2_7b,LLaVA,spatial,200,200,1.0,0,0,0,0,0,26,0,174
internvl3_8b_hf,InternVL,attribute,200,200,1.0,0,0,0,0,0,0,0,200
internvl3_8b_hf,InternVL,count,200,200,1.0,0,0,0,0,0,164,0,36
internvl3_8b_hf,InternVL,presence,200,200,1.0,0,0,0,0,0,0,0,200
internvl3_8b_hf,InternVL,spatial,200,200,1.0,0,0,0,0,0,17,0,183
