model_id,display,factor,n,n_B1,audit_base_accuracy,pi_000,pi_001,pi_010,pi_011,pi_100,pi_101,pi_110,pi_111
qwen3_vl_4b_instruct,Qwen,attribute,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
qwen3_vl_4b_instruct,Qwen,count,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.17
qwen3_vl_4b_instruct,Qwen,presence,200,199,0.995,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.995
qwen3_vl_4b_instruct,Qwen,spatial,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.985
gemma3_4b_it,Gemma,attribute,200,187,0.935,0.0,0.0,0.01,0.055,0.0,0.045,0.025,0.865
gemma3_4b_it,Gemma,count,200,145,0.725,0.015,0.02,0.22,0.02,0.025,0.465,0.065,0.17
gemma3_4b_it,Gemma,presence,200,198,0.99,0.0,0.0,0.0,0.01,0.0,0.395,0.0,0.595
gemma3_4b_it,Gemma,spatial,200,146,0.73,0.12,0.15,0.0,0.0,0.015,0.715,0.0,0.0
molmo_7b_d_0924,Molmo,attribute,200,193,0.965,0.0,0.0,0.0,0.035,0.0,0.01,0.01,0.945
molmo_7b_d_0924,Molmo,count,200,102,0.51,0.0,0.0,0.48,0.01,0.0,0.415,0.015,0.08
molmo_7b_d_0924,Molmo,presence,200,199,0.995,0.0,0.0,0.0,0.005,0.0,0.255,0.01,0.73
molmo_7b_d_0924,Molmo,spatial,200,148,0.74,0.0,0.0,0.075,0.185,0.0,0.445,0.005,0.29
skywork_vl_reward_7b,Skywork,attribute,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
skywork_vl_reward_7b,Skywork,count,200,199,0.995,0.0,0.0,0.0,0.005,0.0,0.37,0.01,0.615
skywork_vl_reward_7b,Skywork,presence,200,199,0.995,0.0,0.0,0.005,0.0,0.0,0.0,0.015,0.98
skywork_vl_reward_7b,Skywork,spatial,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.86
idefics3_8b_llama3,Idefics3,attribute,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
idefics3_8b_llama3,Idefics3,count,200,189,0.945,0.0,0.0,0.04,0.015,0.0,0.27,0.04,0.635
idefics3_8b_llama3,Idefics3,presence,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.995
idefics3_8b_llama3,Idefics3,spatial,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.55
phi35_vision_instruct,Phi,attribute,200,186,0.93,0.0,0.0,0.03,0.04,0.03,0.11,0.07,0.72
phi35_vision_instruct,Phi,count,200,165,0.825,0.005,0.0,0.145,0.025,0.005,0.655,0.035,0.13
phi35_vision_instruct,Phi,presence,200,180,0.9,0.0,0.0,0.055,0.045,0.0,0.235,0.025,0.64
phi35_vision_instruct,Phi,spatial,200,192,0.96,0.0,0.0,0.025,0.015,0.0,0.505,0.015,0.44
llava_onevision_qwen2_7b,LLaVA,attribute,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llava_onevision_qwen2_7b,LLaVA,count,200,183,0.915,0.0,0.0,0.055,0.03,0.0,0.53,0.01,0.375
llava_onevision_qwen2_7b,LLaVA,presence,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.98
llava_onevision_qwen2_7b,LLaVA,spatial,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.87
internvl3_8b_hf,InternVL,attribute,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
internvl3_8b_hf,InternVL,count,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.18
internvl3_8b_hf,InternVL,presence,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
internvl3_8b_hf,InternVL,spatial,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.915
