model_id,model_display_name,model_family,parameter_scale,factor,audit_n,audit_base_correct,audit_relevant_correct,audit_irrelevant_correct,base_accuracy,relevant_accuracy,irrelevant_accuracy,PFC,PSC,PFC_cond,PSC_cond,static_n,static_correct,static_accuracy,downstream_n,U_at_2,U_at_4,U_at_8,abstentions,abstention_rate,runtime_static_seconds,runtime_downstream_seconds,gpu_hours,checkpoint_revision,worker_hostname
qwen3_vl_4b_instruct,Qwen,Qwen,4B,count,200,200,,,1.0,0.17,1.0,0.17,1.0,0.17,1.0,200,183,0.915,200,0.895,0.775,0.665,0,0.0,,2731.7712111473083,0.7588253364298079,,
qwen3_vl_4b_instruct,Qwen,Qwen,4B,attribute,200,200,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,164,0.82,200,0.945,0.865,0.745,0,0.0,,2731.7712111473083,0.7588253364298079,,
qwen3_vl_4b_instruct,Qwen,Qwen,4B,spatial,200,200,,,1.0,0.985,1.0,0.985,1.0,0.985,1.0,200,160,0.8,200,0.88,0.795,0.68,0,0.0,,2731.7712111473083,0.7588253364298079,,
qwen3_vl_4b_instruct,Qwen,Qwen,4B,presence,200,199,,,0.995,1.0,1.0,0.995,0.995,1.0,1.0,200,179,0.895,200,0.89,0.785,0.7,0,0.0,,2731.7712111473083,0.7588253364298079,,
gemma3_4b_it,Gemma,Gemma,4B,count,200,145,,,0.725,0.475,0.675,0.235,0.635,0.32413793103448274,0.8758620689655172,200,77,0.385,200,0.685,0.45,0.335,0,0.0,,4742.266837596893,1.3172963437769147,,
gemma3_4b_it,Gemma,Gemma,4B,attribute,200,187,,,0.935,0.955,0.965,0.89,0.91,0.9518716577540107,0.9732620320855615,200,145,0.725,200,0.885,0.76,0.575,0,0.0,,4742.266837596893,1.3172963437769147,,
gemma3_4b_it,Gemma,Gemma,4B,spatial,200,146,,,0.73,0.0,0.865,0.0,0.715,0.0,0.9794520547945206,200,112,0.56,200,0.81,0.66,0.525,0,0.0,,4742.266837596893,1.3172963437769147,,
gemma3_4b_it,Gemma,Gemma,4B,presence,200,198,,,0.99,0.605,1.0,0.595,0.99,0.601010101010101,1.0,200,150,0.75,200,0.86,0.695,0.5,0,0.0,,4742.266837596893,1.3172963437769147,,
molmo_7b_d_0924,Molmo,Molmo,7B,count,200,102,,,0.51,0.585,0.505,0.095,0.495,0.18627450980392157,0.9705882352941176,200,125,0.625,200,0.735,0.565,0.525,0,0.0,,4238.5872921943665,1.1773853589428795,,
molmo_7b_d_0924,Molmo,Molmo,7B,attribute,200,193,,,0.965,0.99,0.99,0.955,0.955,0.9896373056994818,0.9896373056994818,200,134,0.67,200,0.82,0.605,0.5,0,0.0,,4238.5872921943665,1.1773853589428795,,
molmo_7b_d_0924,Molmo,Molmo,7B,spatial,200,148,,,0.74,0.555,0.92,0.295,0.735,0.39864864864864863,0.9932432432432432,200,132,0.66,200,0.675,0.475,0.34,0,0.0,,4238.5872921943665,1.1773853589428795,,
molmo_7b_d_0924,Molmo,Molmo,7B,presence,200,199,,,0.995,0.745,0.99,0.74,0.985,0.7437185929648241,0.9899497487437185,200,159,0.795,200,0.79,0.66,0.525,0,0.0,,4238.5872921943665,1.1773853589428795,,
skywork_vl_reward_7b,Skywork,Skywork,7B,count,200,199,,,0.995,0.63,0.99,0.625,0.985,0.628140703517588,0.9899497487437185,200,152,0.76,200,0.87,0.73,0.61,0,0.0,,1110.3516743183136,0.308431020643976,,
skywork_vl_reward_7b,Skywork,Skywork,7B,attribute,200,200,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,186,0.93,200,0.95,0.905,0.865,0,0.0,,1110.3516743183136,0.308431020643976,,
skywork_vl_reward_7b,Skywork,Skywork,7B,spatial,200,200,,,1.0,0.86,1.0,0.86,1.0,0.86,1.0,200,169,0.845,200,0.885,0.8,0.695,0,0.0,,1110.3516743183136,0.308431020643976,,
skywork_vl_reward_7b,Skywork,Skywork,7B,presence,200,199,,,0.995,1.0,0.98,0.995,0.98,1.0,0.9849246231155779,200,169,0.845,200,0.965,0.91,0.835,0,0.0,,1110.3516743183136,0.308431020643976,,
