model,factor,metric,estimate,ci_low,ci_high,n,bootstrap_reps,seed,sampling_unit
qwen3_vl_4b_instruct,count,A,0.915,0.8763489689658867,0.9536510310341134,200,10000,20270915,example
qwen3_vl_4b_instruct,count,PFC,0.17,0.11793995005764979,0.22206004994235023,200,10000,20270915,example
qwen3_vl_4b_instruct,count,PSC,1.0,1.0,1,200,10000,20270915,example
qwen3_vl_4b_instruct,count,PFC_cond,0.17,0.11793995005764979,0.22206004994235023,200,10000,20270915,example
qwen3_vl_4b_instruct,count,PSC_cond,1.0,1.0,1,200,10000,20270915,example
qwen3_vl_4b_instruct,count,U@2,0.895,0.8525138634375871,0.937486136562413,200,10000,20270915,pool
qwen3_vl_4b_instruct,count,U@4,0.775,0.7171260421260132,0.8328739578739869,200,10000,20270915,pool
qwen3_vl_4b_instruct,count,U@8,0.665,0.5995854588031071,0.730414541196893,200,10000,20270915,pool
qwen3_vl_4b_instruct,attribute,A,0.82,0.766754335387752,0.873245664612248,200,10000,20270915,example
qwen3_vl_4b_instruct,attribute,PFC,1.0,1.0,1,200,10000,20270915,example
qwen3_vl_4b_instruct,attribute,PSC,1.0,1.0,1,200,10000,20270915,example
qwen3_vl_4b_instruct,attribute,PFC_cond,1.0,1.0,1,200,10000,20270915,example
qwen3_vl_4b_instruct,attribute,PSC_cond,1.0,1.0,1,200,10000,20270915,example
qwen3_vl_4b_instruct,attribute,U@2,0.945,0.9134035476674991,0.9765964523325008,200,10000,20270915,pool
qwen3_vl_4b_instruct,attribute,U@4,0.865,0.8176395291408541,0.9123604708591458,200,10000,20270915,pool
qwen3_vl_4b_instruct,attribute,U@8,0.745,0.684592717326468,0.805407282673532,200,10000,20270915,pool
qwen3_vl_4b_instruct,spatial,A,0.8,0.7445628283549747,0.8554371716450254,200,10000,20270915,example
qwen3_vl_4b_instruct,spatial,PFC,0.985,0.9681536888310823,1,200,10000,20270915,example
qwen3_vl_4b_instruct,spatial,PSC,1.0,1.0,1,200,10000,20270915,example
qwen3_vl_4b_instruct,spatial,PFC_cond,0.985,0.9681536888310823,1,200,10000,20270915,example
qwen3_vl_4b_instruct,spatial,PSC_cond,1.0,1.0,1,200,10000,20270915,example
qwen3_vl_4b_instruct,spatial,U@2,0.88,0.8349626288511418,0.9250373711488582,200,10000,20270915,pool
qwen3_vl_4b_instruct,spatial,U@4,0.795,0.7390498096517983,0.8509501903482017,200,10000,20270915,pool
qwen3_vl_4b_instruct,spatial,U@8,0.68,0.6153497037903152,0.7446502962096849,200,10000,20270915,pool
qwen3_vl_4b_instruct,presence,A,0.895,0.8525138634375871,0.937486136562413,200,10000,20270915,example
qwen3_vl_4b_instruct,presence,PFC,0.995,0.9852245307018026,1,200,10000,20270915,example
qwen3_vl_4b_instruct,presence,PSC,0.995,0.9852245307018026,1,200,10000,20270915,example
qwen3_vl_4b_instruct,presence,PFC_cond,1.0,1.0,1,200,10000,20270915,example
qwen3_vl_4b_instruct,presence,PSC_cond,1.0,1.0,1,200,10000,20270915,example
qwen3_vl_4b_instruct,presence,U@2,0.89,0.8466356920959184,0.9333643079040816,200,10000,20270915,pool
qwen3_vl_4b_instruct,presence,U@4,0.785,0.7280629277184013,0.8419370722815988,200,10000,20270915,pool
qwen3_vl_4b_instruct,presence,U@8,0.7,0.6364887411556029,0.763511258844397,200,10000,20270915,pool
gemma3_4b_it,count,A,0.385,0.31756133008429066,0.45243866991570936,200,10000,20270915,example
gemma3_4b_it,count,PFC,0.235,0.17623676149155834,0.29376323850844166,200,10000,20270915,example
gemma3_4b_it,count,PSC,0.635,0.5682771838124319,0.7017228161875682,200,10000,20270915,example
gemma3_4b_it,count,PFC_cond,0.32413793103448274,0.25926925440172255,0.38900660766724293,200,10000,20270915,example
gemma3_4b_it,count,PSC_cond,0.8758620689655172,0.8301625967605809,0.9215615411704535,200,10000,20270915,example
gemma3_4b_it,count,U@2,0.685,0.620621383985053,0.7493786160149472,200,10000,20270915,pool
gemma3_4b_it,count,U@4,0.45,0.3810508883305956,0.5189491116694044,200,10000,20270915,pool
gemma3_4b_it,count,U@8,0.335,0.2695854588031071,0.40041454119689296,200,10000,20270915,pool
gemma3_4b_it,attribute,A,0.725,0.663116278392456,0.7868837216075439,200,10000,20270915,example
gemma3_4b_it,attribute,PFC,0.89,0.8466356920959184,0.9333643079040816,200,10000,20270915,example
gemma3_4b_it,attribute,PSC,0.91,0.8703372315640978,0.9496627684359022,200,10000,20270915,example
gemma3_4b_it,attribute,PFC_cond,0.9518716577540107,0.9222075887398434,0.981535726768178,200,10000,20270915,example
gemma3_4b_it,attribute,PSC_cond,0.9732620320855615,0.9509046904518208,0.9956193737193022,200,10000,20270915,example
gemma3_4b_it,attribute,U@2,0.885,0.8407858144935362,0.9292141855064638,200,10000,20270915,pool
gemma3_4b_it,attribute,U@4,0.76,0.7008092980274774,0.8191907019725226,200,10000,20270915,pool
gemma3_4b_it,attribute,U@8,0.575,0.506487555874863,0.6435124441251369,200,10000,20270915,pool
gemma3_4b_it,spatial,A,0.56,0.4912042792028458,0.6287957207971543,200,10000,20270915,example
gemma3_4b_it,spatial,PFC,0.0,0,0.0,200,10000,20270915,example
gemma3_4b_it,spatial,PSC,0.715,0.652437150000979,0.7775628499990209,200,10000,20270915,example
gemma3_4b_it,spatial,PFC_cond,0.0,0,0.0,200,10000,20270915,example
gemma3_4b_it,spatial,PSC_cond,0.9794520547945206,0.9597905450060832,0.999113564582958,200,10000,20270915,example
gemma3_4b_it,spatial,U@2,0.81,0.7556298684938136,0.8643701315061865,200,10000,20270915,pool
gemma3_4b_it,spatial,U@4,0.66,0.5943473138401787,0.7256526861598214,200,10000,20270915,pool
gemma3_4b_it,spatial,U@8,0.525,0.4557902102300549,0.5942097897699451,200,10000,20270915,pool
gemma3_4b_it,presence,A,0.75,0.6899875013018122,0.8100124986981878,200,10000,20270915,example
gemma3_4b_it,presence,PFC,0.595,0.5269658335834119,0.6630341664165881,200,10000,20270915,example
gemma3_4b_it,presence,PSC,0.99,0.9762101776661191,1,200,10000,20270915,example
gemma3_4b_it,presence,PFC_cond,0.601010101010101,0.5331424356755737,0.6688777663446283,200,10000,20270915,example
gemma3_4b_it,presence,PSC_cond,1.0,1.0,1,200,10000,20270915,example
