dependency_factor,utility_factor,model_id,family,A_utility_factor,U8_utility_factor,PFC_dependency_factor,PSC_dependency_factor,dependency_row_distinct_from_utility_row
count,count,qwen3_vl_4b_instruct,Qwen,0.915,0.665,0.17,1.0,False
count,count,gemma3_4b_it,Gemma,0.385,0.335,0.235,0.635,False
count,count,molmo_7b_d_0924,Molmo,0.625,0.525,0.095,0.495,False
count,count,skywork_vl_reward_7b,Skywork,0.76,0.61,0.625,0.985,False
count,attribute,qwen3_vl_4b_instruct,Qwen,0.82,0.745,0.17,1.0,True
count,attribute,gemma3_4b_it,Gemma,0.725,0.575,0.235,0.635,True
count,attribute,molmo_7b_d_0924,Molmo,0.67,0.5,0.095,0.495,True
count,attribute,skywork_vl_reward_7b,Skywork,0.93,0.865,0.625,0.985,True
count,presence,qwen3_vl_4b_instruct,Qwen,0.895,0.7,0.17,1.0,True
count,presence,gemma3_4b_it,Gemma,0.75,0.5,0.235,0.635,True
count,presence,molmo_7b_d_0924,Molmo,0.795,0.525,0.095,0.495,True
count,presence,skywork_vl_reward_7b,Skywork,0.845,0.835,0.625,0.985,True
count,spatial,qwen3_vl_4b_instruct,Qwen,0.8,0.68,0.17,1.0,True
count,spatial,gemma3_4b_it,Gemma,0.56,0.525,0.235,0.635,True
count,spatial,molmo_7b_d_0924,Molmo,0.66,0.34,0.095,0.495,True
count,spatial,skywork_vl_reward_7b,Skywork,0.845,0.695,0.625,0.985,True
attribute,count,qwen3_vl_4b_instruct,Qwen,0.915,0.665,1.0,1.0,True
attribute,count,gemma3_4b_it,Gemma,0.385,0.335,0.89,0.91,True
attribute,count,molmo_7b_d_0924,Molmo,0.625,0.525,0.955,0.955,True
attribute,count,skywork_vl_reward_7b,Skywork,0.76,0.61,1.0,1.0,True
attribute,attribute,qwen3_vl_4b_instruct,Qwen,0.82,0.745,1.0,1.0,False
attribute,attribute,gemma3_4b_it,Gemma,0.725,0.575,0.89,0.91,False
attribute,attribute,molmo_7b_d_0924,Molmo,0.67,0.5,0.955,0.955,False
attribute,attribute,skywork_vl_reward_7b,Skywork,0.93,0.865,1.0,1.0,False
attribute,presence,qwen3_vl_4b_instruct,Qwen,0.895,0.7,1.0,1.0,True
attribute,presence,gemma3_4b_it,Gemma,0.75,0.5,0.89,0.91,True
attribute,presence,molmo_7b_d_0924,Molmo,0.795,0.525,0.955,0.955,True
attribute,presence,skywork_vl_reward_7b,Skywork,0.845,0.835,1.0,1.0,True
attribute,spatial,qwen3_vl_4b_instruct,Qwen,0.8,0.68,1.0,1.0,True
attribute,spatial,gemma3_4b_it,Gemma,0.56,0.525,0.89,0.91,True
attribute,spatial,molmo_7b_d_0924,Molmo,0.66,0.34,0.955,0.955,True
attribute,spatial,skywork_vl_reward_7b,Skywork,0.845,0.695,1.0,1.0,True
presence,count,qwen3_vl_4b_instruct,Qwen,0.915,0.665,0.995,0.995,True
presence,count,gemma3_4b_it,Gemma,0.385,0.335,0.595,0.99,True
presence,count,molmo_7b_d_0924,Molmo,0.625,0.525,0.74,0.985,True
presence,count,skywork_vl_reward_7b,Skywork,0.76,0.61,0.995,0.98,True
presence,attribute,qwen3_vl_4b_instruct,Qwen,0.82,0.745,0.995,0.995,True
presence,attribute,gemma3_4b_it,Gemma,0.725,0.575,0.595,0.99,True
presence,attribute,molmo_7b_d_0924,Molmo,0.67,0.5,0.74,0.985,True
presence,attribute,skywork_vl_reward_7b,Skywork,0.93,0.865,0.995,0.98,True
presence,presence,qwen3_vl_4b_instruct,Qwen,0.895,0.7,0.995,0.995,False
presence,presence,gemma3_4b_it,Gemma,0.75,0.5,0.595,0.99,False
presence,presence,molmo_7b_d_0924,Molmo,0.795,0.525,0.74,0.985,False
presence,presence,skywork_vl_reward_7b,Skywork,0.845,0.835,0.995,0.98,False
presence,spatial,qwen3_vl_4b_instruct,Qwen,0.8,0.68,0.995,0.995,True
presence,spatial,gemma3_4b_it,Gemma,0.56,0.525,0.595,0.99,True
presence,spatial,molmo_7b_d_0924,Molmo,0.66,0.34,0.74,0.985,True
presence,spatial,skywork_vl_reward_7b,Skywork,0.845,0.695,0.995,0.98,True
spatial,count,qwen3_vl_4b_instruct,Qwen,0.915,0.665,0.985,1.0,True
spatial,count,gemma3_4b_it,Gemma,0.385,0.335,0.0,0.715,True
spatial,count,molmo_7b_d_0924,Molmo,0.625,0.525,0.295,0.735,True
spatial,count,skywork_vl_reward_7b,Skywork,0.76,0.61,0.86,1.0,True
spatial,attribute,qwen3_vl_4b_instruct,Qwen,0.82,0.745,0.985,1.0,True
spatial,attribute,gemma3_4b_it,Gemma,0.725,0.575,0.0,0.715,True
spatial,attribute,molmo_7b_d_0924,Molmo,0.67,0.5,0.295,0.735,True
spatial,attribute,skywork_vl_reward_7b,Skywork,0.93,0.865,0.86,1.0,True
spatial,presence,qwen3_vl_4b_instruct,Qwen,0.895,0.7,0.985,1.0,True
spatial,presence,gemma3_4b_it,Gemma,0.75,0.5,0.0,0.715,True
spatial,presence,molmo_7b_d_0924,Molmo,0.795,0.525,0.295,0.735,True
spatial,presence,skywork_vl_reward_7b,Skywork,0.845,0.835,0.86,1.0,True
spatial,spatial,qwen3_vl_4b_instruct,Qwen,0.8,0.68,0.985,1.0,False
spatial,spatial,gemma3_4b_it,Gemma,0.56,0.525,0.0,0.715,False
spatial,spatial,molmo_7b_d_0924,Molmo,0.66,0.34,0.295,0.735,False
spatial,spatial,skywork_vl_reward_7b,Skywork,0.845,0.695,0.86,1.0,False
