factor,model_1,model_2,A1,A2,abs_delta_A,RA1,RA2,abs_delta_RA,II1,II2,abs_delta_II,PFC1,PFC2,abs_delta_PFC,PSC1,PSC2,abs_delta_PSC,U8_1,U8_2,abs_delta_U8,abs_delta_RA_pp,abs_delta_II_pp,abs_delta_PFC_pp,abs_delta_PSC_pp,abs_delta_A_pp,abs_delta_U8_pp
spatial,Skywork,Phi,0.845,0.8484848484848485,0.003484848484848535,0.86,0.4739583333333333,0.38604166666666667,1.0,0.984375,0.015625,0.86,0.455,0.40499999999999997,1.0,0.945,0.05500000000000005,0.695,0.53,0.16499999999999992,38.604166666666664,1.5625,40.5,5.500000000000005,0.3484848484848535,16.499999999999993
presence,Molmo,Idefics3,0.795,0.79,0.0050000000000000044,0.7437185929648241,1.0,0.2562814070351759,0.9899497487437185,0.995,0.005050251256281446,0.74,1.0,0.26,0.985,0.995,0.010000000000000009,0.525,0.54,0.015000000000000013,25.628140703517587,0.5050251256281446,26.0,1.0000000000000009,0.5000000000000004,1.5000000000000013
presence,Molmo,InternVL,0.795,0.8,0.0050000000000000044,0.7437185929648241,1.0,0.2562814070351759,0.9899497487437185,1.0,0.01005025125628145,0.74,1.0,0.26,0.985,1.0,0.015000000000000013,0.525,0.715,0.18999999999999995,25.628140703517587,1.005025125628145,26.0,1.5000000000000013,0.5000000000000004,18.999999999999993
spatial,Molmo,Idefics3,0.66,0.64,0.020000000000000018,0.39864864864864863,0.55,0.15135135135135142,0.9932432432432432,1.0,0.006756756756756799,0.295,0.55,0.25500000000000006,0.735,1.0,0.265,0.34,0.565,0.22499999999999992,15.135135135135142,0.6756756756756799,25.500000000000007,26.5,2.0000000000000018,22.499999999999993
attribute,Phi,LLaVA,0.805,0.805,0.0,0.8494623655913979,1.0,0.15053763440860213,0.8924731182795699,1.0,0.10752688172043012,0.79,1.0,0.20999999999999996,0.83,1.0,0.17000000000000004,0.68,0.7,0.019999999999999907,15.053763440860212,10.752688172043012,20.999999999999996,17.000000000000004,0.0,1.9999999999999907
attribute,Qwen,Phi,0.82,0.805,0.014999999999999902,1.0,0.8494623655913979,0.15053763440860213,1.0,0.8924731182795699,0.10752688172043012,1.0,0.79,0.20999999999999996,1.0,0.83,0.17000000000000004,0.745,0.68,0.06499999999999995,15.053763440860212,10.752688172043012,20.999999999999996,17.000000000000004,1.4999999999999902,6.499999999999995
spatial,Qwen,LLaVA,0.8,0.785,0.015000000000000013,0.985,0.87,0.11499999999999999,1.0,1.0,0.0,0.985,0.87,0.11499999999999999,1.0,1.0,0.0,0.68,0.64,0.040000000000000036,11.5,0.0,11.5,0.0,1.5000000000000013,4.0000000000000036
presence,Qwen,LLaVA,0.895,0.885,0.010000000000000009,1.0,0.98,0.020000000000000018,1.0,1.0,0.0,0.995,0.98,0.015000000000000013,0.995,1.0,0.0050000000000000044,0.7,0.555,0.1449999999999999,2.0000000000000018,0.0,1.5000000000000013,0.5000000000000004,1.0000000000000009,14.499999999999991
count,Molmo,Phi,0.625,0.635,0.010000000000000009,0.18627450980392157,0.2,0.013725490196078438,0.9705882352941176,0.9515151515151515,0.019073083778966105,0.095,0.165,0.07,0.495,0.785,0.29000000000000004,0.525,0.49,0.03500000000000003,1.3725490196078438,1.9073083778966105,7.000000000000001,29.000000000000004,1.0000000000000009,3.500000000000003
attribute,Qwen,LLaVA,0.82,0.805,0.014999999999999902,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.745,0.7,0.04500000000000004,0.0,0.0,0.0,0.0,1.4999999999999902,4.5000000000000036
presence,Idefics3,InternVL,0.79,0.8,0.010000000000000009,1.0,1.0,0.0,0.995,1.0,0.0050000000000000044,1.0,1.0,0.0,0.995,1.0,0.0050000000000000044,0.54,0.715,0.17499999999999993,0.0,0.5000000000000004,0.0,0.5000000000000004,1.0000000000000009,17.499999999999993
