model,factor,RA,II
Qwen,count,0.17,1.0
Qwen,attribute,1.0,1.0
Qwen,spatial,0.985,1.0
Qwen,presence,1.0,1.0
Gemma,count,0.32413793103448274,0.8758620689655172
Gemma,attribute,0.9518716577540107,0.9732620320855615
Gemma,spatial,0.0,0.9794520547945206
Gemma,presence,0.601010101010101,1.0
Molmo,count,0.18627450980392157,0.9705882352941176
Molmo,attribute,0.9896373056994818,0.9896373056994818
Molmo,spatial,0.39864864864864863,0.9932432432432432
Molmo,presence,0.7437185929648241,0.9899497487437185
Skywork,count,0.628140703517588,0.9899497487437185
Skywork,attribute,1.0,1.0
Skywork,spatial,0.86,1.0
Skywork,presence,1.0,0.9849246231155779
Idefics3,count,0.7142857142857143,0.9576719576719577
Idefics3,attribute,1.0,1.0
Idefics3,spatial,0.55,1.0
Idefics3,presence,1.0,0.995
Phi,count,0.2,0.9515151515151515
Phi,attribute,0.8494623655913979,0.8924731182795699
Phi,spatial,0.4739583333333333,0.984375
Phi,presence,0.7388888888888889,0.9722222222222222
LLaVA,count,0.4207650273224044,0.9890710382513661
LLaVA,attribute,1.0,1.0
LLaVA,spatial,0.87,1.0
LLaVA,presence,0.98,1.0
InternVL,count,0.18,1.0
InternVL,attribute,1.0,1.0
InternVL,spatial,0.915,1.0
InternVL,presence,1.0,1.0
