model,model_id,display,factor,A,A_n,PFC,PSC,RA,II,n_triplets,n_cond,A_audit,U2,U4,U8
Qwen,qwen3_vl_4b_instruct,Qwen3-VL-4B,count,0.915,200,0.17,1.0,0.17,1.0,200,200,1.0,0.895,0.775,0.665
Qwen,qwen3_vl_4b_instruct,Qwen3-VL-4B,attribute,0.82,200,1.0,1.0,1.0,1.0,200,200,1.0,0.945,0.865,0.745
Qwen,qwen3_vl_4b_instruct,Qwen3-VL-4B,spatial,0.8,200,0.985,1.0,0.985,1.0,200,200,1.0,0.88,0.795,0.68
Qwen,qwen3_vl_4b_instruct,Qwen3-VL-4B,presence,0.895,200,0.995,0.995,1.0,1.0,200,199,0.995,0.89,0.785,0.7
Gemma,gemma3_4b_it,Gemma-3-4B,count,0.385,200,0.235,0.635,0.32413793103448274,0.8758620689655172,200,145,0.725,0.685,0.45,0.335
Gemma,gemma3_4b_it,Gemma-3-4B,attribute,0.725,200,0.89,0.91,0.9518716577540107,0.9732620320855615,200,187,0.935,0.885,0.76,0.575
Gemma,gemma3_4b_it,Gemma-3-4B,spatial,0.56,200,0.0,0.715,0.0,0.9794520547945206,200,146,0.73,0.81,0.66,0.525
Gemma,gemma3_4b_it,Gemma-3-4B,presence,0.75,200,0.595,0.99,0.601010101010101,1.0,200,198,0.99,0.86,0.695,0.5
Molmo,molmo_7b_d_0924,Molmo-7B-D,count,0.625,200,0.095,0.495,0.18627450980392157,0.9705882352941176,200,102,0.51,0.735,0.565,0.525
Molmo,molmo_7b_d_0924,Molmo-7B-D,attribute,0.67,200,0.955,0.955,0.9896373056994818,0.9896373056994818,200,193,0.965,0.82,0.605,0.5
Molmo,molmo_7b_d_0924,Molmo-7B-D,spatial,0.66,200,0.295,0.735,0.39864864864864863,0.9932432432432432,200,148,0.74,0.675,0.475,0.34
Molmo,molmo_7b_d_0924,Molmo-7B-D,presence,0.795,200,0.74,0.985,0.7437185929648241,0.9899497487437185,200,199,0.995,0.79,0.66,0.525
Skywork,skywork_vl_reward_7b,Skywork-VL-Reward-7B,count,0.76,200,0.625,0.985,0.628140703517588,0.9899497487437185,200,199,0.995,0.87,0.73,0.61
Skywork,skywork_vl_reward_7b,Skywork-VL-Reward-7B,attribute,0.93,200,1.0,1.0,1.0,1.0,200,200,1.0,0.95,0.905,0.865
Skywork,skywork_vl_reward_7b,Skywork-VL-Reward-7B,spatial,0.845,200,0.86,1.0,0.86,1.0,200,200,1.0,0.885,0.8,0.695
Skywork,skywork_vl_reward_7b,Skywork-VL-Reward-7B,presence,0.845,200,0.995,0.98,1.0,0.9849246231155779,200,199,0.995,0.965,0.91,0.835
Idefics3,idefics3_8b_llama3,Idefics3-8B,count,0.815,200,0.675,0.905,0.7142857142857143,0.9576719576719577,200,189,0.945,0.865,0.775,0.62
Idefics3,idefics3_8b_llama3,Idefics3-8B,attribute,0.765,200,1.0,1.0,1.0,1.0,200,200,1.0,0.9,0.815,0.66
Idefics3,idefics3_8b_llama3,Idefics3-8B,spatial,0.64,200,0.55,1.0,0.55,1.0,200,200,1.0,0.82,0.7,0.565
Idefics3,idefics3_8b_llama3,Idefics3-8B,presence,0.79,200,1.0,0.995,1.0,0.995,200,200,1.0,0.825,0.685,0.54
Phi,phi35_vision_instruct,Phi-3.5-Vision,count,0.635,200,0.165,0.785,0.2,0.9515151515151515,200,165,0.825,0.785,0.585,0.49
Phi,phi35_vision_instruct,Phi-3.5-Vision,attribute,0.805,200,0.79,0.83,0.8494623655913979,0.8924731182795699,200,186,0.93,0.925,0.815,0.68
Phi,phi35_vision_instruct,Phi-3.5-Vision,spatial,0.8484848484848485,198,0.455,0.945,0.4739583333333333,0.984375,200,192,0.96,0.85,0.725,0.53
Phi,phi35_vision_instruct,Phi-3.5-Vision,presence,0.92,200,0.665,0.875,0.7388888888888889,0.9722222222222222,200,180,0.9,0.93,0.83,0.72
LLaVA,llava_onevision_qwen2_7b,LLaVA-OneVision-7B,count,0.785,200,0.385,0.905,0.4207650273224044,0.9890710382513661,200,183,0.915,0.915,0.83,0.695
LLaVA,llava_onevision_qwen2_7b,LLaVA-OneVision-7B,attribute,0.805,200,1.0,1.0,1.0,1.0,200,200,1.0,0.94,0.84,0.7
LLaVA,llava_onevision_qwen2_7b,LLaVA-OneVision-7B,spatial,0.785,200,0.87,1.0,0.87,1.0,200,200,1.0,0.91,0.805,0.64
LLaVA,llava_onevision_qwen2_7b,LLaVA-OneVision-7B,presence,0.885,200,0.98,1.0,0.98,1.0,200,200,1.0,0.89,0.71,0.555
InternVL,internvl3_8b_hf,InternVL3-8B,count,0.69,200,0.18,1.0,0.18,1.0,200,200,1.0,0.825,0.68,0.55
InternVL,internvl3_8b_hf,InternVL3-8B,attribute,0.855,200,1.0,1.0,1.0,1.0,200,200,1.0,0.955,0.885,0.79
InternVL,internvl3_8b_hf,InternVL3-8B,spatial,0.685,200,0.915,1.0,0.915,1.0,200,200,1.0,0.855,0.76,0.645
InternVL,internvl3_8b_hf,InternVL3-8B,presence,0.8,200,1.0,1.0,1.0,1.0,200,200,1.0,0.9,0.815,0.715
